	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.323699901827239	0.723467321026853	0.164850659721564	-1.9635948219678	0.0495770983713836	0.523718340288603	0.999401633147584
BRCA	0.0523019054881866	1.05369381044196	0.1537782415041	0.340112521619596	0.733771792406436	0.779503648862503	1.42433027450721
CESC	0.337186263143555	1.40099999409995	0.271265947070571	1.24300991991389	0.213864178005356	0.823258343169584	2.38418596027971
CHOL	-0.146880211675711	0.863397396149297	0.417990428389698	-0.35139611268508	0.725291198318105	0.380554302928578	1.95886646909703
COAD	0.00297299466316607	1.00297741839462	0.158851401990701	0.0187155708159258	0.985068006715778	0.73464342603437	1.36932240344104
ESCA	0.19620614495336	1.21677771206686	0.244851712700724	0.801326414216989	0.422942703000314	0.752996730247093	1.96620774182755
GBM	-0.316586147077774	0.728632239317811	0.221158206876137	-1.43149174317136	0.152289331697513	0.472343753366793	1.1239800174959
HNSC	-0.125008591116929	0.882489320983083	0.137306285613486	-0.910436041280922	0.362592597664888	0.674270464601744	1.15500743771888
KICH	0.947034141317474	2.57805217099952	1.16071317232998	0.815907119772258	0.414553259740895	0.265027450165452	25.0779796290767
KIRC	-0.0262898507657347	0.974052718761624	0.1760443320037	-0.149336536237828	0.881288086750474	0.689815987889575	1.37540839235925
KIRP	0.72632502732232	2.06746873840951	0.292048073474165	2.48700502859701	0.0128823578103423	1.16639911270398	3.66463497592305
LIHC	-0.0740836506397669	0.928594013109031	0.13846578668015	-0.535032172322084	0.592627610576271	0.707886431512093	1.21811466189574
LUAD	-0.159489177745252	0.852579194175728	0.151129218412426	-1.05531663182438	0.291280537010487	0.634005909985103	1.14650553077402
LUSC	-0.0940029464054675	0.910280080182611	0.157620677361928	-0.596387149064322	0.550916623463872	0.668356344884525	1.23977251165383
PAAD	0.284929407966019	1.32966816082838	0.262465062830378	1.08558984915322	0.277660492734909	0.794936801559372	2.22409808484464
PCPG	1.24558862454426	3.47497965576764	1.21561195241001	1.02465973789976	0.305523766776671	0.320790498568896	37.6428967250273
PRAD	-0.619353261003586	0.538292459767996	0.710331679037245	-0.871921215513058	0.383251358935639	0.133777438177319	2.16597638728148
READ	0.0836292412822914	1.08722572065941	0.34894359857726	0.239664064975747	0.810590695092224	0.548653796111723	2.15447295916035
SARC	-0.245296484495333	0.782472512879514	0.174937618509662	-1.40219403113565	0.16085731357372	0.555343789585404	1.10249406744797
STAD	0.0266544180461867	1.02701282433153	0.149671370094549	0.178086283497964	0.858655214027289	0.765905812598527	1.37713453011004
THCA	0.384314014865077	1.46860653356584	0.66764274738781	0.575628232866644	0.564866493636498	0.39683221314145	5.43505562050598
THYM	0.0388149189531228	1.0395780596481	0.684657153967796	0.0566924901436851	0.95479015639293	0.271691392128368	3.97775775535461
UCEC	-0.0917558374634206	0.912327878641975	0.159172961152792	-0.576453669008162	0.564308577341125	0.667825004794735	1.24634769912995
