	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.583855595235417	0.557743781364275	0.17312145509149	-3.37252014735473	0.000744836368980967	0.397258763987587	0.783061706500805
BRCA	-0.414138970662147	0.660909097908644	0.189471768341497	-2.1857555576075	0.0288334938181738	0.455893152006775	0.958121072395327
CESC	-0.33387875767507	0.716140603515642	0.247392457985629	-1.34959149682107	0.177147053207257	0.440978540651373	1.16299846075549
CHOL	-0.322971945628965	0.723994165283949	1.13374694942789	-0.284871280837355	0.775742759302116	0.0784671562008782	6.68008854587922
COAD	0.056017868094653	1.05761658116096	0.175503983927704	0.319182886000631	0.749587833771873	0.749788869401626	1.49182373651301
ESCA	0.225646400291199	1.25313247964776	0.262073984990619	0.861002668003376	0.389236573630735	0.749754715775672	2.09447300364562
GBM	-0.0863690859608396	0.917255622563355	0.246066316033179	-0.350999223921383	0.725588930626767	0.566289298542035	1.48573861326753
HNSC	0.194517427896002	1.21472465279549	0.14887418028637	1.30658941343512	0.191352193996623	0.907310451351736	1.626296688097
KICH	-1.20273057352515	0.300372900806716	0.948744389493184	-1.26770770593716	0.204902351883508	0.0467829991787729	1.92856125350721
KIRC	0.380047114058782	1.46235348521929	0.16891983315032	2.24986673838696	0.0244574059328133	1.05018918571361	2.03627855325886
KIRP	0.649980800848997	1.91550405260931	0.294301924543171	2.20855096974961	0.0272058888732889	1.07590226751095	3.41030583014859
LIHC	0.110787785858982	1.11715780501319	0.203775888953839	0.543674653698007	0.586665377272306	0.749307661034994	1.66559295493925
LUAD	-0.095782549606719	0.908661583406051	0.174687050220707	-0.548309388049677	0.583479482255515	0.645220682944155	1.2796642993378
LUSC	-0.177329110107858	0.837504108094186	0.168229920836514	-1.05408781758975	0.291842713146193	0.60226743022104	1.1646207247455
PAAD	0.327995830837464	1.38818318471602	0.360090337288544	0.910870958957828	0.362363368892244	0.685389313403734	2.81161745104883
PCPG	-0.614177437050433	0.541085789430444	0.858248698729825	-0.715617090896138	0.474227817493389	0.100629082127529	2.90943557601497
PRAD	-2.16201532778402	0.115092937159336	0.866660668177237	-2.49465033682811	0.0126081304663502	0.0210545408615568	0.629146190888882
READ	0.339518155521825	1.40427078739498	0.341421768215043	0.994424454236851	0.320016267593572	0.719170932038853	2.74201355544275
SARC	-0.595353685338408	0.551367520769397	0.207523109836508	-2.86885487504231	0.00411960771188097	0.36711082296563	0.828104550292305
STAD	-0.0572677603695181	0.94434117836807	0.15193774439457	-0.376915957241003	0.706236062373867	0.701131186669115	1.27191640896506
THCA	-1.22380348801013	0.294109395295755	0.680719731678766	-1.79780815959606	0.0722074138615399	0.0774603066825052	1.11670531793506
THYM	-0.723663157344752	0.484972467670955	1.03003983573438	-0.702558417877891	0.48233098394312	0.0644088561141695	3.65164526415357
UCEC	0.199062721454707	1.22025849988792	0.184971077516183	1.07618295858871	0.281845439646296	0.849188638199901	1.753474716413
