	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.283067882394989	0.753468638867924	0.173184449454923	-1.63448787281947	0.10215645058766	0.536599557295297	1.05798631780283
BRCA	-0.0586250188467806	0.943060332714238	0.179513632379764	-0.326576973957936	0.743987861543884	0.663341543385603	1.34073133215795
CESC	-0.0941707898278491	0.910127308479848	0.241735395048333	-0.389561445104141	0.696860866424073	0.566678328613717	1.4617317723569
CHOL	0.744676398189491	2.10575989699805	0.698981079366537	1.06537418561367	0.286706633722659	0.535100155404313	8.28671922260011
COAD	0.434671990383287	1.54445637931298	0.241516349587004	1.79976217397531	0.0718981990691703	0.962047593079252	2.47944646892749
ESCA	0.330244983198479	1.39130893402899	0.260788776239711	1.26633127376204	0.205394504837976	0.834525794857595	2.31956946308555
GBM	-0.0601745850481562	0.941600129929429	0.345349186251091	-0.174242730094072	0.861674705372621	0.478525129517333	1.85279883958738
HNSC	-0.248453106048767	0.780006437561357	0.139510637660247	-1.78089004692121	0.0749304149194056	0.593398599460365	1.02529740243817
KICH	-0.776033398638087	0.460227936250124	0.760981901083735	-1.01977904800747	0.307833262108351	0.103567622964485	2.04513483309048
KIRC	1.2873520903978	3.62317998962143	0.164982309870375	7.80297046034366	6.04667076631081e-15	2.62214505206655	5.00637187361058
KIRP	0.357227189168116	1.42936056820694	0.365883234783244	0.976342054534815	0.328894986203559	0.697752534938484	2.92807482831284
LIHC	0.449580882579701	1.56765501625792	0.181888492987029	2.47173900446667	0.0134457639898704	1.09755610690246	2.23910398251469
LUAD	0.0125747834649246	1.01265417849728	0.169571172568348	0.0741563750162559	0.940885957922309	0.726309818759734	1.41188850644909
LUSC	-0.0990235434755025	0.905721383943313	0.149677097850012	-0.661581129631011	0.508239704464792	0.675443839244893	1.21450693258121
PAAD	-0.158010385777929	0.853840914120311	0.274566470832648	-0.575490464289935	0.564959637914004	0.498500453439823	1.46247471109636
PCPG	0.762726161520663	2.14411345986318	1.03963567512546	0.733647545741078	0.46316357534794	0.279452675606332	16.4508087775213
PRAD	-0.0500929021899788	0.951141057308822	1.10002407823735	-0.0455380051955284	0.963678482540187	0.110129263799184	8.21461326163196
READ	1.34190385975599	3.82632135440619	0.588887556984685	2.27870982132313	0.0226843205374031	1.20647810347759	12.1351022160982
SARC	-0.0721846591144864	0.930359080664088	0.177683113750396	-0.40625503229243	0.684555222212456	0.656759646211439	1.31793727578607
STAD	-0.38513614129103	0.680358005082096	0.212227982673761	-1.81472837106059	0.0695656628322578	0.448837063851952	1.03130301028787
THCA	-1.61280139084586	0.19932843434905	0.756739682279475	-2.13124992466065	0.0330685580329585	0.0452304876592126	0.87843016505596
THYM	-1.65016159937852	0.192018875982371	0.736860900081274	-2.23944790556333	0.0251267873062712	0.0453029818048143	0.813881278110811
UCEC	0.451250940838815	1.57027527885184	0.250217215576945	1.80343682507349	0.0713196386395065	0.96159127370932	2.56425418864461
