	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0202259731627374	1.02043190419987	0.14785619874107	0.136794894870507	0.89119291901261	0.763710222824533	1.36345074347421
BRCA	-0.348693470061306	0.7056093875259	0.208134729980822	-1.675325737773	0.0938703382648513	0.46924510047363	1.06103315146421
CESC	-0.203471900315796	0.815893130339872	0.21026547401284	-0.96769049351094	0.333198967282151	0.540324898439956	1.23200245270535
CHOL	0.801125543167916	2.22804728111889	0.75944742698102	1.05487952780692	0.291480426340258	0.502899936603285	9.87113802485386
COAD	0.138487965052139	1.14853585891782	0.253618787942837	0.546047736350483	0.585033124011748	0.698656743637902	1.8881011759099
ESCA	0.0346895097956463	1.03529820893847	0.337448755134787	0.102799341434199	0.918122227956184	0.5343533809045	2.00586806359658
GBM	0.0217009004714842	1.02193807755715	0.311623503335274	0.0696382019944635	0.944481629938673	0.554843080638472	1.88225729184446
HNSC	-0.179110625342761	0.83601341001126	0.140983310832371	-1.27043849577148	0.203928478077777	0.634173414818692	1.1020935368577
KICH	-1.24807859142773	0.287055818832523	0.841301010528973	-1.48351015368802	0.137938920764948	0.055188632922499	1.49307998336044
KIRC	0.519517066696774	1.68121553864342	0.196169347229884	2.64830909636442	0.00808955236948699	1.14457365191184	2.46946597333851
KIRP	-0.334024019236581	0.716036583368561	0.374447229986169	-0.892045640847493	0.372368469453236	0.343720275806832	1.49164429569543
LIHC	-0.106107608632901	0.899327867426457	0.226864235959358	-0.467714129484516	0.639989035422957	0.576515334400368	1.40289523082858
LUAD	0.0666037598549476	1.06887186431118	0.164756922031119	0.404254698581755	0.686025434460823	0.773899024248925	1.47627407002463
LUSC	-0.00288631202516382	0.997117849368733	0.143141222961025	-0.0201640866653047	0.983912476746511	0.753189853309953	1.32004434361462
PAAD	-0.14373280783094	0.866119137396104	0.304248328625383	-0.472419383469864	0.636627471548466	0.477090740612671	1.57236830712838
PCPG	-0.591715524868036	0.55337713772595	1.15108415613737	-0.514050620637178	0.607216599686986	0.0579717756227015	5.28233357126719
PRAD	-2.23568569628271	0.106918790894395	1.12027611198244	-1.99565595692872	0.0459713841892272	0.0118979813404713	0.96080398171699
READ	1.19625970146101	3.30772188927431	0.554691030920073	2.15662348006017	0.0310350135249365	1.11525743125228	9.81031265983061
SARC	-0.193929211361761	0.823716211953732	0.179489444357705	-1.08044911529883	0.279942234494205	0.579423255113807	1.17100649973418
STAD	0.0606863480875942	1.06256558618728	0.25725831204166	0.235896549293097	0.813512945965271	0.6417665451657	1.75927778325997
THCA	-0.263562157662132	0.768309864610009	0.831680768993645	-0.316903032375089	0.751317181034248	0.150524937397776	3.92160965659219
THYM	-1.41731919678548	0.242362873950972	0.639532436475454	-2.21618031541372	0.026679155447685	0.0691982476799981	0.848861996353034
UCEC	-0.32436375568471	0.722987203836492	0.202693472343303	-1.60026739852447	0.109539275952652	0.485956744864528	1.07563173561266
