	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.118353845472442	0.888381647168775	0.0642172703645604	-1.84302205311046	0.0653257906896151	0.783317336216027	1.00753796007989
BRCA	-0.0810363856648189	0.922160137424499	0.102395334303439	-0.79140701298631	0.428706518889084	0.754479212068285	1.12710768627222
CESC	-0.0331336125765547	0.967409292905189	0.0979908580735463	-0.338129629926156	0.735265502739194	0.79836278646126	1.17224995436925
CHOL	-0.0411872326965177	0.959649435374477	0.199742386716286	-0.206201765051601	0.836633309163259	0.648771232413966	1.41949425745643
COAD	-0.176035327660177	0.83858835744925	0.131308387363037	-1.34062515879874	0.180042184602917	0.648304336520058	1.08472270450049
ESCA	-0.0827453138623769	0.920585577750903	0.141398451102183	-0.585192505415638	0.558418283667195	0.69775922506488	1.21457055029858
GBM	0.180816976838274	1.19819586162874	0.108882437709748	1.66066245982005	0.096781256938043	0.96793660977279	1.48323072846811
HNSC	-0.0640015353655623	0.938003559351261	0.0780345199792234	-0.820169527314357	0.412119470992361	0.804973127526267	1.09301869499603
KICH	-0.944356984203979	0.388929578376197	0.461512885203723	-2.0462201912025	0.0407347116614875	0.157409338094067	0.960973591322074
KIRC	0.0651366388051175	1.06730484968063	0.137488253624598	0.473761482075179	0.635670004696084	0.815188921896303	1.39739342814166
KIRP	0.374510496678733	1.45427936577768	0.209313006957752	1.78923661802978	0.0735767167223531	0.964895514674276	2.19187304901162
LIHC	0.155769121649423	1.16855637757362	0.100028910764312	1.55724100621715	0.119413275953238	0.960516670498263	1.42165570833833
LUAD	-0.179778205403313	0.835455490377114	0.0634136968327734	-2.83500591169446	0.00458248376912616	0.737811603101072	0.946021821109321
LUSC	0.147325949933331	1.15873158996727	0.068169247360088	2.16117906004031	0.0306815103043426	1.01381118551809	1.32436780809628
PAAD	0.436349959140014	1.54705010434981	0.183484697588054	2.37812724917079	0.0174008198979021	1.07974679022604	2.21659749029466
PCPG	-0.65541099288237	0.519228619461329	0.625154771633593	-1.04839796898569	0.294455288914813	0.15248457584535	1.76803691634454
PRAD	-0.552036045181564	0.575776309554802	0.418485112838856	-1.3191294701901	0.187125832347945	0.253535406672553	1.30758209669985
READ	0.264113621768191	1.30227615481446	0.310347522561367	0.851025391111238	0.394755248249139	0.708818099118659	2.39260705321584
SARC	-0.149441181362464	0.861189090498995	0.0704213865905631	-2.12209938766657	0.0338293928207216	0.750163149965532	0.98864713579781
STAD	0.0918235463101937	1.09617138152974	0.0996808845717467	0.921175074887126	0.356959029230104	0.901633286657765	1.33268338188684
THCA	-0.355500921121228	0.700822298576449	0.242894933534328	-1.46359957347972	0.143303389175627	0.435366861794137	1.12813339113122
THYM	0.204537077416169	1.22695694739576	0.299105340278457	0.683829573974681	0.494082789428692	0.682700776533938	2.20509980727682
UCEC	-0.483286096079712	0.616753347415367	0.106676242388649	-4.53040044585538	5.88719915983029e-06	0.500389897637393	0.760176600974678
