	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.000747118221545689	1.00074739738388	0.064171930528778	0.0116424457763608	0.990710882116835	0.882472586217599	1.13487418080958
BRCA	0.131837755429984	1.14092319565669	0.0956308238579691	1.37861151991945	0.168014562788222	0.945921953287921	1.37612382698476
CESC	-0.163073649691194	0.849528618590075	0.124595125372544	-1.30882848910499	0.190592454309713	0.665460758669284	1.08451003970052
CHOL	-0.0105098476010496	0.989545187873688	0.18402563152296	-0.0571107813301447	0.954456948182766	0.689910460213248	1.4193141506237
COAD	0.0070902608900559	1.00711545630195	0.117261027034928	0.0604656216079701	0.951784795713791	0.800325204021131	1.26733674914417
ESCA	-0.0886881539602886	0.915130909031572	0.139920775638913	-0.633845499750243	0.526181656086185	0.695636632373888	1.20388223059368
GBM	-0.020114476430989	0.98008647008341	0.0608124871666573	-0.330762272160733	0.740824060735397	0.86996285722653	1.10415000003895
HNSC	-0.193163407233964	0.824347258827289	0.0574313398235749	-3.36337978231657	0.000769943622056934	0.736587853639158	0.922562596951217
KICH	-0.545912894943865	0.579312690247543	0.223296864182679	-2.44478531725934	0.0144938388063337	0.373974858681967	0.897395066247613
KIRC	-0.237928314762776	0.788259195615908	0.0623752461502509	-3.81446694718684	0.000136477200937634	0.697549673912145	0.890764604602621
KIRP	0.0507615579050174	1.05207200512027	0.150760605056859	0.336703065670722	0.736340752113857	0.782920752428697	1.41375164794676
LIHC	-0.0669593278197143	0.93523323853813	0.0316961944968652	-2.11253523909114	0.0346405667411435	0.878901253251641	0.995175746115465
LUAD	-0.294795540627156	0.744683829490469	0.0769480035296235	-3.83110057577603	0.000127571340982022	0.640432944068537	0.865904871135492
LUSC	-0.0744890241764408	0.928217661956355	0.070699613628865	-1.05359874478902	0.292066664122685	0.808109491297571	1.06617734013281
PAAD	0.344666880381892	1.41151963645948	0.127166870851422	2.7103511950419	0.00672119998157475	1.10012564222523	1.81105467197427
PCPG	-0.202466933074231	0.816713488355904	0.166719661456648	-1.21441545229432	0.224589117663565	0.589057507045963	1.13235280780561
PRAD	0.19326071159582	1.21319904735149	0.456044040199095	0.423776421925059	0.671728874999384	0.496302736521472	2.96563331246287
READ	-0.330461659071228	0.718591912368862	0.236752333016881	-1.39581162669119	0.162771228249235	0.451812636981201	1.14289485121998
SARC	-0.0464026447015689	0.95465749701149	0.0483462116706069	-0.95979898110156	0.337156395231965	0.868350817486007	1.04954232580651
STAD	-0.129855359592669	0.878222448187058	0.0706896367553951	-1.83697873624677	0.06621303452297	0.764598437164062	1.00873168320926
THCA	-0.334160057384419	0.715939181703297	0.378174368797352	-0.883613710910908	0.376904775051423	0.341172112564457	1.50237634619432
THYM	0.444767343021464	1.56012717912949	0.279059676357397	1.59380727745073	0.110979207064939	0.902867407245646	2.69585189976441
UCEC	-0.287110463947539	0.750428828927637	0.0802829806445735	-3.57623074831546	0.000348583991318358	0.641168994667214	0.878307329221358
