	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0138137614311792	0.986281210760585	0.035374870995073	-0.390496446845084	0.696169482194111	0.920215649718195	1.05708985388073
BRCA	-0.161970182750407	0.850466562735947	0.0587750419718425	-2.75576464629328	0.00585551134835621	0.757927800250859	0.954303792646873
CESC	-0.163865397104243	0.848856272703176	0.0838537795912895	-1.95418021588218	0.0506799081771777	0.720207592890139	1.00048510848933
CHOL	0.0799480568968489	1.08323079984444	0.203684005779745	0.392510234619507	0.694681250719865	0.726682764843383	1.61471968581023
COAD	0.119692214707476	1.12714987803051	0.0743717421421121	1.60937758428146	0.107533803675891	0.974263262949859	1.30402828050551
ESCA	0.0107663927715931	1.01082455893742	0.0851144959784862	0.126493056768079	0.899341644797993	0.85551217534138	1.19433284341432
GBM	-0.0283177849910718	0.972079405467022	0.0477099866375803	-0.593539989985375	0.552819828426173	0.885300945378306	1.06736401386009
HNSC	0.021944849653866	1.02218740892647	0.0369432153690885	0.594015692316483	0.552501617363177	0.950789561750313	1.09894675015606
KICH	-0.396775981812356	0.672484657554086	0.212068608300952	-1.87097932594192	0.0613479466453387	0.443781561447165	1.01905003256761
KIRC	0.0504368376980108	1.0517304315419	0.0539715077818096	0.934508591123887	0.350041606472176	0.946158313276032	1.16908226151009
KIRP	0.0527255631660185	1.05414031048975	0.129643256754111	0.40669730525222	0.684230319935697	0.817609409503639	1.35909858825381
LIHC	0.0901903958936413	1.09438262982925	0.0465124102772294	1.9390608948467	0.0524939236583412	0.999028219401013	1.1988383483202
LUAD	-0.0213308438066328	0.978895049625276	0.0746906661628363	-0.28558914925365	0.775192815124472	0.845588994552959	1.13321663876132
LUSC	-0.00235964888396931	0.997643132899018	0.0541316781821831	-0.0435909057913886	0.965230500935701	0.897218561279267	1.1093081034809
PAAD	0.165097016480026	1.17950754483085	0.13106667701596	1.25964143013958	0.207798742790209	0.912297669611185	1.52498257384111
PCPG	0.495155819290133	1.64075388024451	0.335675094482621	1.47510443112654	0.140184469337512	0.849799128869228	3.16789368697
PRAD	0.767034195518693	2.15337029861535	0.406555263133636	1.88666650040776	0.0592051961450744	0.970640148789496	4.77726338513985
READ	-0.0337943503196709	0.966770300198872	0.119459555484889	-0.282893655367282	0.777258358297276	0.764960732392275	1.22182064224877
SARC	0.0359151959475673	1.03656793760173	0.0524769440479316	0.684399532007102	0.49372291145568	0.935253442987783	1.14885766774765
STAD	0.022217760489759	1.02246641301657	0.0591359586896017	0.375706439568819	0.70713514997906	0.910568099826181	1.14811573779768
THCA	-0.069541840986712	0.932821102412664	0.25916453672445	-0.268330852151468	0.788444660114569	0.561302670670262	1.55024241745957
THYM	-0.67182176176585	0.510777215282159	0.48090779334634	-1.39698663872976	0.162417589077226	0.199013281235193	1.31093443629561
UCEC	0.0377995304155912	1.03852301973083	0.0260105764655321	1.45323693481693	0.146157980501021	0.986906216631173	1.09283946573204
