	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0264845486368527	0.973863091231562	0.0386542101812197	-0.685165949910429	0.493239207760176	0.902807967783113	1.05051057844777
BRCA	0.0173277639347571	1.01747876051983	0.0603089271006873	0.287316733488361	0.773869811101515	0.904045524291086	1.14514479668574
CESC	0.0533238482316557	1.05477117559437	0.0451284354925591	1.18160196890601	0.237363671940724	0.965483506602056	1.15231614549298
CHOL	0.281245977814747	1.32477943020986	0.223480132986915	1.25848313250832	0.208217083590849	0.854903198913654	2.05291141843584
COAD	-0.0858254041384481	0.91775445336216	0.0519436983942047	-1.65227750028719	0.0984779938241607	0.828918713598351	1.01611077521673
ESCA	0.0824582955085588	1.08595338336108	0.0981834532282577	0.839839023759523	0.400998650008508	0.895854079745693	1.31639156141159
GBM	0.0677505218222257	1.07009830899872	0.131430793186369	0.515484386723251	0.606214577242643	0.827083932085772	1.38451533937328
HNSC	0.0430934822239195	1.04403548904825	0.0329918562812856	1.30618543729423	0.191489503897108	0.978661587444199	1.11377632102513
KICH	0.402432511019643	1.4954579948839	0.334981343067753	1.20135798410196	0.229612366944068	0.775599611213248	2.88343957646373
KIRC	-0.00616808613529508	0.993850897457126	0.0765984402026422	-0.0805249574139803	0.935819747537611	0.855304040610091	1.15484033686054
KIRP	0.400625599715785	1.49275827474045	0.266492528112557	1.5033277013552	0.132754560128733	0.885422667548582	2.5166819740176
LIHC	0.0133834944795356	1.01347345431946	0.0429405397394735	0.311675040899233	0.755287498219448	0.931668311222364	1.10246149862348
LUAD	-0.202945168686361	0.816323000260964	0.0752473772943223	-2.69703976382542	0.00699589159036569	0.704387028062155	0.946047008543519
LUSC	0.0424049156216083	1.04331684852319	0.0537609838504939	0.788767477536011	0.430247921127548	0.938976641045844	1.15925146465833
PAAD	-0.282580250349011	0.753836143918212	0.120514251215116	-2.34478700651435	0.0190379517816322	0.595244018517993	0.954682305405312
PCPG	-0.453081446246818	0.635666358878855	0.404266562872932	-1.12074924779082	0.262394612867264	0.287817307343828	1.40391737918524
PRAD	-0.833297355911932	0.434613844511236	0.493653737131465	-1.68801994846443	0.0914073996795668	0.165159946561011	1.14367434583215
READ	0.0136685563124354	1.01376239810141	0.0946852665155764	0.144357795203405	0.885217942210177	0.84205398135267	1.22048493631418
SARC	-0.00697308797648177	0.993051167590003	0.0297549252243119	-0.234350714173002	0.814712717663615	0.936794188972505	1.05268652715865
STAD	0.0589477445996852	1.06071981095358	0.0656056228275836	0.898516652369939	0.368910171413441	0.932732421144237	1.20626933496011
THCA	-0.175407158238272	0.839115298499765	0.403045300001697	-0.435204574368027	0.663413942546439	0.380845525718066	1.84881910545956
THYM	0.384386501164738	1.46871299127743	0.248312151905587	1.54799714075568	0.121622984912387	0.902761957301496	2.38946472356353
UCEC	-0.232230643482227	0.792763256540911	0.104322472608439	-2.22608454032598	0.0260085192592073	0.646165941646316	0.972619478086558
