	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.175118180819442	1.19138700738561	0.062734918592642	2.79139886920935	0.00524807548826205	1.05354429591046	1.34726466355231
BRCA	0.0136455459985536	1.0137390713788	0.079689681611265	0.171233536420914	0.864040138652467	0.867149953942675	1.18510864259112
CESC	0.211400883862195	1.23540751073909	0.0870568472374662	2.42830851989796	0.0151694329363727	1.04161521392589	1.46525482460853
CHOL	0.0307943116178425	1.03127336112041	0.195069626410528	0.157863180365329	0.874564612009953	0.7036071313699	1.5115320722886
COAD	0.0256656836127508	1.02599788322483	0.095279335957768	0.269373031988038	0.787642636768468	0.851225346610325	1.23665450115375
ESCA	-0.0650972586274542	0.936976329913913	0.112326027729524	-0.579538508957207	0.562225870487685	0.751824599560296	1.16772534888111
GBM	0.237143147186271	1.26762256139132	0.119720936943698	1.9807992924228	0.0476137862052595	1.00249753624163	1.60286374784764
HNSC	0.0377427642408003	1.0384640684248	0.0562071337103181	0.671494199211794	0.501905753610644	0.930139044769433	1.15940474434843
KICH	0.631634740764229	1.88068249602728	0.359265899677152	1.75812606020175	0.0787260625205572	0.930053206225306	3.80297237533159
KIRC	0.123014383080388	1.130900686666	0.0835098466174927	1.47305243708376	0.14073689702439	0.960153694742709	1.33201212483419
KIRP	0.0293846910479247	1.02982068108174	0.137172541105671	0.214217005904178	0.830377835092277	0.787046026190077	1.3474823579473
LIHC	0.0331277810060995	1.03368261580732	0.066449694987658	0.498539248558666	0.618104012662055	0.907455066149909	1.17746849412129
LUAD	0.106173154017847	1.11201440960004	0.0741780417125355	1.43132861917955	0.15233605540509	0.961545747114956	1.28602934480067
LUSC	0.0284408717492288	1.02884917498396	0.0635628117324632	0.447445148728425	0.654553683477711	0.908336885423562	1.16535025919549
PAAD	0.232009664320521	1.2611319167525	0.104494958897953	2.22029528282886	0.0263987299340183	1.02757669641407	1.54777129240283
PCPG	0.0316185037141359	1.0321236788382	0.399162899124809	0.0792120304353476	0.936863975757985	0.472023549074064	2.25683504670091
PRAD	-0.799358412499152	0.449617340463806	0.321472713836194	-2.48655135597749	0.0128987950856204	0.239444564202629	0.844269543219501
READ	0.0304897720078218	1.03095934535074	0.200372898551981	0.152165149220078	0.879056680722746	0.696119531570014	1.5268601491023
SARC	0.0690836326539026	1.07152581994915	0.0739083596586397	0.934720144960312	0.349932542332072	0.927025606858739	1.23855001881588
STAD	0.207980507863501	1.2311891708076	0.0768685223555473	2.70566548556129	0.00681676745017109	1.05899566433849	1.4313814733706
THCA	0.649245530398033	1.91409615673627	0.299373227792514	2.16868266807079	0.0301067841187741	1.06447826381086	3.44184021580316
THYM	-0.0522901550214354	0.949053454263285	0.203036334831081	-0.257540873484241	0.796761266622228	0.637478926578507	1.41291330818314
UCEC	0.0523558214933933	1.05375062293447	0.112464042973181	0.465533872954207	0.641549185558702	0.845294955904921	1.3136129200559
