	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.199729422478071	0.818952313189518	0.134563785792531	-1.48427321141226	0.137736454132187	0.629097141471314	1.06610386070089
BRCA	-0.0705419285615724	0.931888665955348	0.132639951303162	-0.531830175362034	0.594843621278246	0.718556129570188	1.20855761992524
CESC	-0.124004520385817	0.883375847674073	0.233045292638408	-0.532104806674735	0.594653408476157	0.55947026364861	1.39480672871652
CHOL	0.0998685729534361	1.10502567827036	0.442591885387845	0.225644835006229	0.821477666725718	0.464127684612804	2.63091771966924
COAD	-0.0830585805780533	0.920297234097055	0.2157067292118	-0.3850532659855	0.700197951728424	0.603001254964205	1.4045526308846
ESCA	0.600884539813219	1.82373125004669	0.250372379605778	2.39996336959906	0.0163967125625578	1.11646081239099	2.9790527669968
GBM	0.431245078122497	1.53917272129749	0.284572903570612	1.51541159650673	0.129668202476386	0.881167484497964	2.68853845343154
HNSC	0.0945255286653929	1.0991372222812	0.126790868114506	0.74552316007511	0.455955515522172	0.857289161130162	1.40921253665612
KICH	0.925572717593165	2.52331299235073	0.951393153393063	0.972860393510495	0.330622691888813	0.390970332358996	16.2854005288554
KIRC	0.30346008218286	1.35453751968181	0.13806728077604	2.19791452744771	0.0279551974475318	1.03339880905627	1.77547320177514
KIRP	0.733634538357138	2.08263629012825	0.27134734699494	2.70367315723496	0.00685777068122509	1.22360755899828	3.54474266284365
LIHC	0.0961350656400226	1.10090774876234	0.120853275012098	0.795469263289713	0.426340583552057	0.868721228610792	1.39515166818604
LUAD	0.0211750616981902	1.02140084415352	0.12944373252008	0.163585067317998	0.870057800891888	0.792525979499157	1.31637285265629
LUSC	-0.224585873569548	0.798846973913208	0.149437440321995	-1.50287553832312	0.132871142051261	0.596021895877264	1.07069302679058
PAAD	-0.0605710202228216	0.941226920499016	0.214060086305238	-0.282962701119585	0.77720542916818	0.618708474105209	1.43186678856029
PCPG	-0.221337101814769	0.801446465689813	0.794514734606136	-0.278581494054346	0.780566016289895	0.168881605822177	3.80335344538953
PRAD	0.315140394397783	1.3704517011927	0.574585954740732	0.548465189233493	0.583372525449679	0.444401261342332	4.22622082491167
READ	-0.0622787353349869	0.939620944727741	0.441412225337987	-0.141089738253852	0.887799050245744	0.395568701326815	2.23194483489132
SARC	0.315842177219271	1.37141379820637	0.149036609583715	2.11922545810371	0.0340714177786855	1.02401972595247	1.83665974223443
STAD	-0.0344329692042099	0.966153099527132	0.133308741120007	-0.258294909357914	0.796179314749983	0.744000701983115	1.25463834810611
THCA	-0.282524022480195	0.753878531709698	0.697053553251271	-0.405311788688856	0.685248342185742	0.192295143378497	2.95552363199372
THYM	-0.0489551477938887	0.952223838080565	0.644309401670934	-0.0759808062196978	0.939434368467346	0.269340642912861	3.36648130041864
UCEC	-0.0565776633916103	0.944993090276723	0.158483584941768	-0.356993838903876	0.721096418096305	0.692671247960313	1.28922911597728
