	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00920795247738864	1.00925047609006	0.0246880525603061	0.372972005584327	0.709169279379872	0.961577858272493	1.0592865826985
BRCA	-0.0618569261419604	0.940017369082028	0.02859140325032	-2.16347989640096	0.0305042883293572	0.888789329021641	0.994198090956583
CESC	-0.0430492920991324	0.957864173767536	0.0395808901413427	-1.08762819495479	0.276759278529188	0.886365033749287	1.03513083261685
CHOL	-0.0783779700652258	0.924614883741426	0.0633858148578766	-1.23652224462152	0.21626450238864	0.816595113299977	1.04692358466529
COAD	0.0386166773588909	1.03937199246244	0.0267945121716397	1.44121591434548	0.149523693738828	0.98619655196608	1.09541463774303
ESCA	-0.0271974468080923	0.97316907342619	0.0473921902577877	-0.573880351597026	0.566048769956888	0.886845554647772	1.06789512616921
GBM	0.0887681809211825	1.09282728874436	0.0569790223745115	1.55790986264607	0.119254616914607	0.977351759989954	1.22194641879668
HNSC	0.0206157047777086	1.020829676281	0.0244235014721723	0.844092924235199	0.398617481354589	0.973114546659585	1.07088444166535
KICH	-0.199761526119582	0.818926022260061	0.131096256727023	-1.52377749835785	0.127564302378229	0.633366859520004	1.05884894331688
KIRC	0.0215469203642575	1.02178073153678	0.0284973431599929	0.756102779241084	0.449587575785042	0.966274961648148	1.08047492150583
KIRP	0.0705139927771027	1.07305958440924	0.0498516431419814	1.41447680222442	0.157221953868609	0.973172980179205	1.18319856299391
LIHC	-0.0171964004809887	0.982950613702599	0.0204579359754108	-0.840573579937768	0.400586864829326	0.944317137805114	1.02316464490314
LUAD	-0.0817328189017222	0.921518138035854	0.0260251942824319	-3.14052675321987	0.00168644303595514	0.87569163716449	0.969742821204486
LUSC	0.0151367851926389	1.01525192654872	0.0379419192103441	0.398946218527401	0.689932832739197	0.942491847123749	1.09362906162684
PAAD	-0.0710719843241745	0.931394843886033	0.0426274014780731	-1.66728399714285	0.0954579471768925	0.856740543461326	1.01255433962855
PCPG	-0.0400566592699991	0.960735003066247	0.133276170468558	-0.300553798396009	0.763754766811476	0.739875645604444	1.24752281224589
PRAD	-0.0457563424308922	0.955274693745869	0.100385313026645	-0.45580714002204	0.648528669298578	0.784657516949668	1.16299114046441
READ	0.039333532942775	1.04011733920004	0.0536120564047112	0.733669543392455	0.463150165130534	0.936370388333114	1.15535913222376
SARC	0.00295876253618124	1.00296314399422	0.0284397346112629	0.10403622173779	0.917140603733565	0.948586693613358	1.06045665091396
STAD	0.039183810625696	1.03996162207944	0.0338533101596331	1.15745876668861	0.24708497625133	0.973198258000926	1.11130508763926
THCA	-0.155682928388134	0.85583050691367	0.0952798679593502	-1.63395407364076	0.102268494320954	0.710044213720275	1.03154964495304
THYM	0.15642388345875	1.16932175420405	0.140974133298484	1.10959280116696	0.267174534765796	0.887026571471574	1.54145705306942
UCEC	0.0835308761353069	1.08711878080126	0.0312059152982741	2.67676417553844	0.00743369368654321	1.02262045464073	1.15568512071863
