	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0349069464485294	0.965695273451569	0.110346704929504	-0.31633882018344	0.751745348603976	0.777880384601415	1.19885702175733
BRCA	-0.401504446460088	0.669312343622485	0.140416684247469	-2.85937848918637	0.00424472000748405	0.508283411450662	0.881356745534686
CESC	-0.086181276376632	0.917427908138375	0.153438313601867	-0.561667254765654	0.574342748516694	0.679148925469269	1.23930692528091
CHOL	0.474510299292485	1.60722694457047	0.493782430347881	0.960970399368365	0.336567051408821	0.610616925024479	4.23044030633406
COAD	0.0714880885866543	1.07410535651224	0.192566381276674	0.371238676827719	0.710459768156892	0.736434424761062	1.56660563126527
ESCA	0.0934651031071262	1.09797228685147	0.203634676070864	0.45898422071593	0.646245497388202	0.736643274293571	1.63653587124642
GBM	0.21735376392862	1.24278367641621	0.172091515269086	1.26301266851397	0.206584626946154	0.886974178589635	1.7413260765071
HNSC	-0.168366233961334	0.845044294086653	0.0935589818203092	-1.79957317496999	0.0719280599274028	0.703464075752928	1.01511915616174
KICH	0.646929992516697	1.90966912203814	0.495594026995952	1.30536277129502	0.191769348916159	0.722949106549634	5.04438849516102
KIRC	0.489873567803705	1.63210985567646	0.152922819545075	3.20340397372356	0.00135813323810099	1.20943142089114	2.20250816622037
KIRP	-0.693653761585297	0.499746773632576	0.295411515143557	-2.34809317181902	0.0188698004374645	0.280088489479677	0.891671193700698
LIHC	0.41245186832064	1.51051683684591	0.127651046689142	3.23108880826532	0.00123319617469273	1.17616649192412	1.93991337966307
LUAD	-0.236150894887647	0.789661509057655	0.100564521533479	-2.34825255752875	0.018861727011986	0.648395950044552	0.961704493750105
LUSC	-0.0774335847180094	0.925488488934494	0.110780064247844	-0.698984833090278	0.484561509370063	0.744860355205885	1.14991882325849
PAAD	-0.079571290739785	0.92351217975524	0.203852852650643	-0.390336900882873	0.696287440131945	0.619330923013873	1.37709052537842
PCPG	-0.258828204398467	0.771955630234564	0.906529986872819	-0.285515325633436	0.7752493646801	0.130602838303837	4.56280661883086
PRAD	-0.229161940264238	0.795199748220265	0.79231016261849	-0.289232615049244	0.772403374723371	0.168290887509208	3.75743837903866
READ	0.210990853993377	1.23490106059647	0.418681135279084	0.503941630550742	0.614302394859513	0.543563310708953	2.80552531677182
SARC	0.21390811367935	1.23850884754377	0.13472627756607	1.58772377255394	0.11234881500385	0.951086238987939	1.61279188212885
STAD	-0.123305259245302	0.88399377409761	0.15742241407423	-0.783276383928141	0.433464828211726	0.649308374905625	1.20350363994137
THCA	0.0167930026442829	1.01693479772291	0.772214201506522	0.0217465602309841	0.982650122848639	0.223863447887415	4.61958570092171
THYM	0.437867811575131	1.54940008112576	0.367645620199761	1.19100510795481	0.23365157963971	0.753742589053709	3.18496081587536
UCEC	-0.120519769109445	0.886459562656042	0.135746113780231	-0.887832187259247	0.374631026248762	0.679378232437722	1.15666136874113
