	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.120414761521344	0.886552652524152	0.139579634246953	-0.862695780591445	0.388304752891833	0.674363620253309	1.16550712715252
BRCA	-0.00828708115984764	0.991747162039881	0.173511483543663	-0.0477609953566114	0.961906722256455	0.705842368985649	1.39345904500974
CESC	0.194854317192643	1.21513394946935	0.207404919464597	0.93948744174269	0.347480536971706	0.809246383470953	1.82459946106879
CHOL	-0.151193722198233	0.859681143206141	0.56515792748233	-0.267524730426719	0.789065175702513	0.283971071864534	2.60255970135147
COAD	0.00951372496520976	1.00955912430463	0.131439317366237	0.072381119712461	0.942298609666501	0.780279879938529	1.30621031205754
ESCA	0.0997439743166753	1.10488800215457	0.234949337150339	0.424533967733014	0.671176438318992	0.697154474777295	1.75108608130945
GBM	-0.103694001767508	0.901501112966675	0.184896640175057	-0.560821449591145	0.574919262767205	0.627454100432239	1.29524096841554
HNSC	-0.26048553970401	0.770677300517355	0.122175040839353	-2.13206836612825	0.0330012267287574	0.606564493204017	0.979192663248994
KICH	-1.89855352839866	0.149785122527985	1.11329372616853	-1.70534826863046	0.0881294902931551	0.0168978457447443	1.32771853108562
KIRC	0.043502869939066	1.04446299185287	0.146936296753172	0.296066192631379	0.767179531545171	0.783106184561687	1.39304600430507
KIRP	0.36592470577727	1.44184667584259	0.312428350960024	1.1712275939519	0.241507306514611	0.781591065112468	2.65985875406491
LIHC	0.103778272356388	1.10935445309507	0.138669224086706	0.748387200115137	0.454226640872741	0.845346723075966	1.4558136549271
LUAD	-0.0266964225194514	0.97365677693438	0.115411085518454	-0.231315929483937	0.817069372298686	0.776547090593954	1.22079849471221
LUSC	0.160344329563722	1.17391501505342	0.127062213886991	1.26193558776123	0.206971965012298	0.915126443669967	1.50588639646487
PAAD	0.300585827285928	1.35064982337433	0.247449404670822	1.21473651426154	0.224466601203526	0.831598028389771	2.19367396639145
PCPG	0.454119591201066	1.57478631680118	1.06064639603903	0.428153617357275	0.66853928270277	0.196968956206913	12.5905726026139
PRAD	1.0428641143841	2.83733183083214	0.524589326908344	1.98796289000044	0.0468157943746465	1.01479632463105	7.93307161531172
READ	0.188453125762528	1.20738048662052	0.396257202985457	0.475582839485808	0.634371603363848	0.555327793477757	2.62505795062533
SARC	-0.259913545394414	0.77111824964596	0.168115150175627	-1.54604475041594	0.122093760575636	0.554652667763807	1.0720643557605
STAD	-0.210117805160793	0.810488760587201	0.173571872672283	-1.2105521587447	0.226067089136551	0.5767695853787	1.13891586465481
THCA	-0.291422951310742	0.74719958213357	0.566972412058019	-0.513998468202224	0.607253061624288	0.245939807199243	2.27009698795234
THYM	-0.211306985325079	0.80952551627876	0.396242375117534	-0.533277101578044	0.593841776226951	0.372347481850678	1.75999998240676
UCEC	-0.0109880219580939	0.989072125851788	0.176488349279733	-0.0622591916290067	0.950356425762156	0.699843297133473	1.39783244926957
