	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0180103655745427	0.982150851747671	0.0173031679864149	-1.04087098898208	0.29793542766896	0.949401064485495	1.01603034973573
BRCA	0.00250317323937937	1.00250630879324	0.0259716997904271	0.0963808013945249	0.923218139399027	0.952752206820246	1.05485864212737
CESC	0.00647494513398755	1.00649595290815	0.0306568195640071	0.211207334161614	0.832725488009786	0.94780042874372	1.06882638211425
CHOL	-0.0618579675668351	0.940016390125067	0.046944492062253	-1.31768317963278	0.187609727576869	0.857385633128893	1.03061070720195
COAD	-0.0290095263184752	0.97140721048807	0.0220547196192812	-1.31534323805749	0.188394572807814	0.930311332747543	1.01431847100189
ESCA	0.190728923381461	1.21013136929595	0.108146401620065	1.76361784141021	0.0777963418363627	0.978989727994442	1.49584606362938
GBM	0.0128243133854619	1.01290689754314	0.02294419320443	0.558935032981933	0.576206059244106	0.968365695007305	1.05949682891516
HNSC	-0.0038132449999304	0.996194016186292	0.0163099888968411	-0.233798135857035	0.8151416968447	0.964852310156421	1.02855380812063
KICH	-0.268053504876991	0.764866855900985	0.121170527507542	-2.21220052756068	0.0269528124224533	0.603177734796302	0.969898710623703
KIRC	0.0289052602358164	1.02932707165152	0.0219695251925222	1.31569799449534	0.188275427613611	0.985945482097059	1.07461745063344
KIRP	-0.0207061813371799	0.979506719648073	0.0373651258609508	-0.554157944341875	0.579470757314451	0.9103369417872	1.0539321978433
LIHC	0.0128671578474622	1.0129502959239	0.0194337195810066	0.662104739848041	0.507904098364167	0.975093190436429	1.05227716907045
LUAD	-0.00417110584492173	0.995837581134762	0.0168876963494557	-0.246990812637164	0.80491533430114	0.963415609436064	1.02935065436694
LUSC	-0.0156106699391442	0.984510545000347	0.0175184232612242	-0.891100169596729	0.372875433961799	0.951280650919024	1.01890121730163
PAAD	0.013358495428759	1.0134481187618	0.0285067484061647	0.46860817791026	0.639349730754856	0.958377331096117	1.07168341330354
PCPG	-0.0423202634930104	0.958562738756983	0.102700340516364	-0.41207520131121	0.680284304486898	0.783793855903293	1.17230125907833
PRAD	-0.0200705593844933	0.98012951353165	0.0802184639732625	-0.250198749644259	0.802433652152264	0.837531955937798	1.14700562346917
READ	-0.0286851325129477	0.971722380086566	0.0478397787884466	-0.599608385310412	0.548767257457134	0.884750693458384	1.06724345167808
SARC	-0.0442020883304348	0.956760587785015	0.0239918137209901	-1.84238210768379	0.0654192771027408	0.912812141495433	1.00282498525827
STAD	0.00547420490231595	1.00548921574027	0.0414414499297249	0.132094917325502	0.894909216071457	0.927048361914489	1.09056722874965
THCA	-0.0258231026377349	0.974507462161739	0.0816054492502057	-0.316438459379842	0.751669729164456	0.830467200729907	1.14353076554287
THYM	-0.0307492210072762	0.96971872767147	0.0690643941641225	-0.445225378133409	0.656156888483414	0.846950568953007	1.11028251856449
UCEC	0.0272469458901837	1.02762153834828	0.0260724566308033	1.04504712678255	0.296001189068027	0.976428130849187	1.08149897848487
