	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.205020711936431	1.22755048964759	0.188586529525562	1.08714398876851	0.27697317994037	0.848231153294416	1.77649712437643
BRCA	0.0826182217206703	1.08612706966034	0.18802422922035	0.439401996557838	0.66037028009383	0.75133587079946	1.57009941531704
CESC	-0.208328327602737	0.811940410495418	0.245772207727863	-0.847648029566521	0.396634017460718	0.501559515748846	1.31439482154214
CHOL	0.651300741333112	1.91803407332689	0.716067807844027	0.909551768978529	0.363058944313	0.471344338465442	7.80502576613143
COAD	-0.276696500657033	0.758284601068749	0.250236809965586	-1.10573860294609	0.268839676316451	0.46433377819955	1.23832373007092
ESCA	0.0669199585053541	1.06920989359151	0.27206529736003	0.245970210661588	0.805705292625116	0.627307626832503	1.82240697809852
GBM	0.150727811550954	1.16268014690251	0.284985111842517	0.528897143350585	0.59687680375566	0.665090109970863	2.03254431803303
HNSC	0.359641336015394	1.43281542310188	0.152428953581309	2.35940303705853	0.0183043636944932	1.06277783223335	1.93169256491217
KICH	2.60534659885077	13.5359160227392	1.27931068104935	2.03652376036893	0.0416977896799547	1.10290073301699	166.126485448464
KIRC	-0.00201206932407248	0.997989953530475	0.218824160647239	-0.00919491393510285	0.992663623510838	0.649924196839617	1.53246171198261
KIRP	1.56633647300447	4.78907112505125	0.409319285270111	3.82668623094765	0.000129879896695712	2.14702983663848	10.6822932077686
LIHC	0.67628460973668	1.96655761309347	0.227751243045728	2.96940030136694	0.00298381618846012	1.25847462932311	3.07304474441094
LUAD	0.485833439131791	1.62552922410308	0.158795610454696	3.05948909885264	0.0022171485636983	1.19076952969699	2.21902323876692
LUSC	-0.183042242480279	0.832732978287692	0.125440067551877	-1.45920076457692	0.144509858446765	0.651224880999771	1.06483064968787
PAAD	1.6533308418156	5.22435236985533	0.319732931999318	5.17097451137477	2.32876333623643e-07	2.79174210237872	9.77664006326272
PCPG	1.10210200100969	3.01048742543065	1.01221863459246	1.0887983715627	0.27624280990163	0.414032805784095	21.8896532160356
PRAD	0.696001301274203	2.00571639518899	0.939565331449551	0.740769457936916	0.458833236689171	0.31806073957465	12.6482075823311
READ	-0.0304211784256431	0.970036888888714	0.530790412794523	-0.057312976444847	0.954295883636732	0.342750921895112	2.74535094056683
SARC	0.195369266113282	1.2157598425227	0.23583238554068	0.828424245742881	0.40743028021086	0.765785085427753	1.93013943835848
STAD	0.1703439445158	1.18571260054106	0.191681886897251	0.888680444840943	0.374174843569734	0.814365781988065	1.72639175439036
THCA	2.14033037152502	8.50224606494546	0.89693007505195	2.38628453996377	0.0170195770649884	1.46576857250429	49.3175999983237
THYM	-0.660008488789295	0.516846947068246	1.2125213338665	-0.544327320563222	0.586216249716303	0.0480022865066247	5.56495921620107
UCEC	0.829071647013682	2.29119071889341	0.229097823399414	3.61885431608078	0.000295910153639282	1.4623550209187	3.58979511489991
