	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.0607640192066994	1.06264812005069	0.0319247922588145	1.9033489306394	0.0569950300801728	0.998194208572327	1.13126385361656
BRCA	-0.0591145754962456	0.942598764248686	0.0607888499049368	-0.972457540958424	0.330822977926445	0.836726075081659	1.06186774480099
CESC	-0.0693531580951569	0.932997126401406	0.0756300056976599	-0.917005855749959	0.359139571632252	0.804459025554852	1.0820733066832
CHOL	-0.146377053586107	0.863831930844369	0.20730353089656	-0.706100146741571	0.480125860473741	0.575403061051754	1.29683982456116
COAD	0.0737073953811133	1.07649177294352	0.0573991846973297	1.28411920430191	0.199100249505642	0.961949870474923	1.20467248115846
ESCA	-0.0192975840108249	0.980887422393321	0.0615922563061786	-0.313311853926823	0.754043745066336	0.869344162256842	1.10674250450095
GBM	-0.0420590696523886	0.958813142140683	0.0885851785837766	-0.474786756936011	0.634938973119144	0.805990898082698	1.14061169143298
HNSC	-0.00797355295533194	0.992058151496364	0.0497447891342053	-0.16028921006822	0.87265325809985	0.899900076370305	1.09365406426013
KICH	-0.272453811068868	0.761508601631267	0.293939235994211	-0.92690521613193	0.353975748734099	0.428029086216031	1.35480360805604
KIRC	-0.122532346271068	0.884677288469288	0.0581035649694046	-2.10886107135749	0.0349565752558435	0.789454371614969	0.991385864558978
KIRP	0.265563785082709	1.30416603790791	0.075087061162636	3.53674495939462	0.000405090644800888	1.12568962685779	1.5109396176814
LIHC	-0.196710647104321	0.821428281580761	0.0595448250380777	-3.30357250992892	0.000954612787179572	0.730945512989352	0.92311179122123
LUAD	-0.109227764892697	0.896526197048923	0.0596144049963219	-1.83223777708485	0.0669160028834167	0.797662381689898	1.00764338452591
LUSC	0.0826213090874137	1.08613042293811	0.0508173839494463	1.62584735116641	0.10398213244767	0.983164396503114	1.19987999954795
PAAD	0.0215361823363371	1.02176975968566	0.0794530576189046	0.271055425451782	0.786348403908301	0.874424827245441	1.19394304607851
PCPG	-0.263522288942355	0.768340496751331	0.295904974602292	-0.890563902470852	0.373163171918323	0.430208466479289	1.37223500917898
PRAD	-0.421713879974889	0.655921684876544	0.21406742804874	-1.97000488966901	0.0488378101700221	0.431159007839537	0.997852877635815
READ	0.181431739984451	1.19893269475209	0.12037062683393	1.50727585920745	0.131739962764481	0.946967643825623	1.5179395155873
SARC	-0.0787566805024958	0.924264788731	0.0296553371980445	-2.65573377151446	0.00791360623856799	0.872074804862225	0.979578122111808
STAD	0.060176587127703	1.06202406976781	0.0345846226626823	1.73998102320298	0.0818623501890513	0.99242084007739	1.13650890752982
THCA	0.341224714395833	1.40666930419168	0.18737717771398	1.82105803149993	0.0685980359896635	0.974307998161406	2.03089632343067
THYM	0.287611969281448	1.33323986571578	0.289196286721637	0.994521653586398	0.319968968821279	0.756386842568323	2.35002572691272
UCEC	-0.0256582229840673	0.974668151861464	0.0665172851451379	-0.385737675975232	0.699690956833449	0.855533775320761	1.1103921711295
