	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0258315453991191	0.9744992346625	0.126691986896453	-0.203892495744277	0.83843750943161	0.760223145083008	1.24917106838954
BRCA	0.0568646337989281	1.05851251387918	0.146117241379385	0.389171279597883	0.697149447647702	0.79491515219281	1.40951992039402
CESC	0.267162939096358	1.30625326871886	0.206943227024453	1.29099629370711	0.196704962698934	0.87071694436258	1.95964671766877
CHOL	-0.252163510444661	0.777117660825725	0.459981232629782	-0.548203910413919	0.583551897361036	0.315464172919683	1.9143595710978
COAD	-0.109489037874651	0.896291989573395	0.20904188444531	-0.52376602978479	0.600441283431436	0.594994211147416	1.35016327137744
ESCA	0.143596295957356	1.1544179712386	0.226181664607025	0.634871514483034	0.525512216684366	0.741031888176404	1.79841228641081
GBM	0.740314692828706	2.09659519416299	0.231000987158361	3.20481181459709	0.00135150811980134	1.33317201663056	3.29718247409439
HNSC	0.0403238930619532	1.04114794018087	0.114533967242716	0.352069294661736	0.724786295297359	0.831803904422688	1.30317858281179
KICH	0.024947641644169	1.02526143811588	0.602619181919658	0.0413986849285111	0.96697806117508	0.314690944197351	3.34029636336862
KIRC	0.0993349009982131	1.10443611438692	0.182166163781708	0.545298308621393	0.585548367197515	0.772823784729652	1.57834056723393
KIRP	0.1219715986694	1.12972201571622	0.273738935307932	0.445576361039734	0.655903289250371	0.660639577946221	1.93187310509244
LIHC	-0.0474325664870076	0.953674780605071	0.150321926984451	-0.315539904513823	0.752351757908668	0.710306913749481	1.28042620669592
LUAD	0.172924630413196	1.18877650411356	0.136117907482051	1.27040323798688	0.203941030459201	0.910408785136088	1.55225828199936
LUSC	0.13624881185128	1.14596698829378	0.110591674858014	1.23199881027398	0.217949528542924	0.922648548487478	1.42333756489614
PAAD	0.440802154513266	1.55395322929422	0.161426208217509	2.73067279087247	0.00632051903380503	1.13248303739598	2.13227974203167
PCPG	-1.09797581781213	0.333545557815511	0.902526088029932	-1.21655853761395	0.223772226207665	0.0568752818875537	1.95608066362492
PRAD	-0.920127994926333	0.398468035933478	0.723088465101837	-1.27249712771555	0.203196543969102	0.0965827288460361	1.64394584371075
READ	0.103498720341745	1.10904437416637	0.408515998978959	0.253352917879419	0.799995507037746	0.497988684170215	2.469894322839
SARC	-0.150855305022032	0.859972123304612	0.134973094954622	-1.11766945162478	0.263708194369517	0.660077708979205	1.12040149637039
STAD	0.0489293694609493	1.05014617573007	0.163341649026901	0.299552317197992	0.764518660074779	0.76245302435081	1.44639335825244
THCA	-0.172542802841136	0.841522268496922	0.715249225121932	-0.241234519075112	0.80937335840117	0.207130650278282	3.41890361192216
THYM	-0.414765963377618	0.660494842599768	0.847797062189154	-0.48922788468578	0.624680370048218	0.125378555839988	3.47949004658861
UCEC	-0.0396173296883072	0.961157175102803	0.200433673622241	-0.197658053022439	0.843312610975986	0.648910736838879	1.42365207232036
