	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.141539074589829	1.15204551908746	0.170526016199787	0.830014549944112	0.40653055732798	0.824741087209632	1.60924306868216
BRCA	-0.196347393290602	0.821726722738405	0.153586402788074	-1.27841651165912	0.201102605153956	0.60812719823694	1.1103512699646
CESC	0.569767455325555	1.76785589815553	0.241320422139696	2.3610411844702	0.0182237066451291	1.1016269352925	2.83699896627299
CHOL	0.038383647948626	1.03912981643816	0.392834423383643	0.0977094818168223	0.922162986187307	0.481158917432305	2.24414582436315
COAD	-0.41188975109513	0.66239730060359	0.229955795983529	-1.79116925204456	0.0732661387954742	0.422065472338347	1.03957848391632
ESCA	0.208433350107118	1.23174683153066	0.285411067408226	0.730291757778946	0.46521186524584	0.704010461533187	2.15508197659689
GBM	0.261500451491309	1.2988775280037	0.239229469195188	1.09309464411322	0.274352247314024	0.812710198677807	2.07587259947974
HNSC	0.17319266917367	1.18909518500171	0.132054800021226	1.31152119533581	0.189681737669877	0.91793381964206	1.54035871512569
KICH	0.508354412574655	1.66255306622893	0.527705079950279	0.963330526631566	0.33538167850001	0.591006337320664	4.67690872919948
KIRC	-0.392727735213592	0.675212559165489	0.212306252966928	-1.84981709076072	0.0643399167145977	0.44537424746596	1.02366044433149
KIRP	0.027230585548101	1.02760472624591	0.33706756103851	0.0807867285247004	0.935611562672252	0.530778918146704	1.98947516056216
LIHC	-0.0314707605958492	0.969019289586154	0.118922917579147	-0.264631588565799	0.791293283247222	0.767547128658789	1.22337554077084
LUAD	-0.0942522610857624	0.910053162283598	0.155397594158475	-0.60652329655531	0.544167317248721	0.671107498173332	1.23407466082054
LUSC	0.267195525472312	1.30629583547251	0.156250490213272	1.71004599798443	0.0872573675150219	0.961702807544216	1.77436188850303
PAAD	0.754537902517773	2.126628586551	0.307545477955777	2.45341894646967	0.0141505425573108	1.16388068774269	3.88574979614727
PCPG	-0.121260132586017	0.885803503263568	0.85499440796604	-0.141825644069982	0.887217727775352	0.165792482317343	4.73271064783333
PRAD	-0.126046476908646	0.881573873002896	0.681538818521371	-0.184943943739124	0.853273003356944	0.231809812950737	3.35262982903354
READ	-0.281552580003121	0.754611237170938	0.428098039558074	-0.657682479213799	0.510742183056185	0.326081046574557	1.74630854889155
SARC	0.390745213590561	1.47808187026083	0.158370444047991	2.46728621580523	0.0136141488911581	1.08366070043405	2.0160609444623
STAD	0.497790133776882	1.64508184006119	0.190350839007843	2.61511919974448	0.00891963206909167	1.13281914554346	2.38899057377848
THCA	-0.257463389478977	0.773009926091596	0.677399606681164	-0.380076083510569	0.703888938587945	0.204918647162683	2.9160076650406
THYM	0.145437350914468	1.15654527580857	0.543596113901176	0.267546708291789	0.789048256372088	0.398522446656375	3.35639055269691
UCEC	0.687124661031295	1.98799115897992	0.249810505379555	2.75058352725117	0.00594892229818392	1.21835923902309	3.24379601811961
