	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00171959681897622	1.00172107617343	0.108312284014921	0.0158762861905796	0.98733308849737	0.810123495842888	1.23863228211401
BRCA	-0.109865871612421	0.895954300143212	0.106666595121081	-1.02999323722397	0.303013180220975	0.726927481765065	1.10428361574112
CESC	-0.157817803005713	0.85400536500528	0.16637786619088	-0.948550468994798	0.342849292673635	0.616367175707369	1.18326411950928
CHOL	-0.207797614723106	0.812371432093001	0.424902098016331	-0.489048220032839	0.624807558861769	0.353246055500718	1.86823697930717
COAD	0.241379768229276	1.27300439014412	0.163520079665488	1.47614756990741	0.139904280958395	0.923934868312493	1.75395499499441
ESCA	-0.0964884798248693	0.908020358093044	0.206013855905485	-0.468359176137824	0.639527756857246	0.606367999259678	1.35973694475642
GBM	-0.0321816358191634	0.968330682568106	0.191354828969476	-0.168177808694322	0.866443398377284	0.665490970743468	1.40898126650055
HNSC	-0.111974353130013	0.894067187231229	0.093397233585914	-1.19890438753745	0.230565125517975	0.744509574066513	1.07366804018043
KICH	0.218815707901131	1.24460188525698	0.539127065693446	0.405870381631985	0.684837841502788	0.432638001908176	3.58043871771114
KIRC	-0.143577636746889	0.866253544469348	0.135247920447613	-1.06158849815736	0.28842253752492	0.664541008238564	1.12919322359761
KIRP	-0.629946414728874	0.532620340847604	0.282325476603997	-2.23127725597526	0.0256627692776336	0.306268172290926	0.926261535315998
LIHC	-0.0274196888310992	0.972952818393952	0.107324222174699	-0.255484626634109	0.79834881589772	0.788382974481867	1.20073266097974
LUAD	0.000547980472400526	1.00054813064113	0.099304597025131	0.00551817830006247	0.995597153075296	0.82358752307534	1.21553148108811
LUSC	-0.0909283228845259	0.91308315572058	0.122111512267794	-0.744633500935745	0.456493309837358	0.718735048605493	1.15998357235849
PAAD	-0.238415999320878	0.787874867501484	0.162030909001172	-1.47142295745038	0.14117676862054	0.573503783430547	1.08237613207595
PCPG	-0.0683678645962509	0.933916855431658	0.811008041015074	-0.0842998603450101	0.932818023436956	0.190535944693702	4.57761759473506
PRAD	-0.120956357711693	0.886072628986194	0.446132378357317	-0.271122123341642	0.786297106645117	0.369590459854683	2.12430998394062
READ	0.415516562641849	1.51515321012244	0.301267863282746	1.37922630749327	0.167824989295074	0.839492615264006	2.73461518112625
SARC	-0.21805062371989	0.804084734875817	0.147125846585843	-1.48206877839554	0.138321995251381	0.602654036397294	1.07284150078119
STAD	-0.0963615982290879	0.908135576474472	0.140947491481507	-0.683670189630377	0.494183451617078	0.688931380894286	1.19708616580665
THCA	-0.443693111461691	0.641662309422575	0.600794791119936	-0.738510250121521	0.460204440738345	0.197655578766467	2.08307057105622
THYM	0.469072859106767	1.59851146062911	0.343041191286126	1.36739514385466	0.171501483647577	0.816053370585343	3.13121541049428
UCEC	-0.135445972979107	0.873326344874599	0.131063147167705	-1.03344056591128	0.301397770802622	0.675484531533519	1.12911379764761
