	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.223148462868535	1.25000613945798	0.141124166030889	1.58122077277461	0.113827567305118	0.947953508211922	1.64830377771369
BRCA	-0.226903647575601	0.796997571238909	0.166165649476383	-1.36552679985673	0.172087535771671	0.575461854133498	1.10381795769448
CESC	-0.237453329502907	0.788633696048834	0.25118372239008	-0.945337250533097	0.344486726599385	0.48202255139948	1.29027802690543
CHOL	-2.16644348470219e-05	0.999978335799825	0.534897959576225	-4.05019956781769e-05	0.999967684082976	0.350497256261438	2.85296576279934
COAD	-0.143708271230815	0.866140389275762	0.21494757081469	-0.668573599999921	0.503767517829549	0.568361415002344	1.31993332786617
ESCA	-0.290000862064307	0.748262922527529	0.310426812620792	-0.934200430742313	0.350200513585351	0.407210008736269	1.37495982224754
GBM	-0.0354703255699763	0.965151374121976	0.130838055862123	-0.271100983091303	0.786313365484656	0.74683709033049	1.24728295772954
HNSC	-0.131042816693705	0.877180215630362	0.127392417568831	-1.02865475979292	0.303641935870244	0.683364171827731	1.12596645012185
KICH	0.196868971732485	1.21758449226688	0.595175336463967	0.33077474766027	0.740814636624186	0.379214507095982	3.90942848458477
KIRC	-0.0305641653499926	0.969898196213322	0.145742536725379	-0.209713416801467	0.833891353293753	0.728903237960832	1.29057255068526
KIRP	-0.633882928854238	0.530527794723289	0.311988945667322	-2.03174803997753	0.0421791698382413	0.28783438223638	0.977853093112452
LIHC	-0.218598799127978	0.803644076188302	0.136480992788393	-1.60167943287828	0.109226515495175	0.615022375096012	1.05011431672177
LUAD	-0.106493977340366	0.89898046239827	0.11713353029029	-0.909167315938002	0.363261813811499	0.714572027745911	1.13097888021609
LUSC	-0.0372533543583552	0.963432014725938	0.115531864065218	-0.322450907027048	0.747111123642889	0.768210383120807	1.20826438615437
PAAD	-0.247414466648191	0.780817003850285	0.273427291766456	-0.904863830709028	0.365537530653528	0.456885662480058	1.33441524558313
PCPG	0.212064633629193	1.2362277843846	0.888880834578625	0.238574874583411	0.811435249770306	0.216511895453109	7.05854582117146
PRAD	0.140701195655294	1.15108064869412	0.972656452780524	0.144656620796657	0.884981990402321	0.171072057709552	7.74519624968598
READ	-0.18827223601354	0.828389159170569	0.399372913313037	-0.471419642488294	0.637341091706064	0.378693252219336	1.81209618869539
SARC	0.185774323509432	1.20415048125698	0.186206397094801	0.997679598595377	0.318434749113789	0.835952480945405	1.73452249327807
STAD	-0.292153643724825	0.746653808487713	0.185149636930042	-1.57793257696322	0.114581099988648	0.519421148266455	1.07329459262452
THCA	0.973532040456126	2.64727825988264	0.845333765099848	1.15165403376634	0.249463268006592	0.504952105875317	13.8787067203116
THYM	-3.17658999616028	0.0417277044214962	1.1164252435584	-2.84532261742441	0.00443664623291726	0.00467866126263747	0.372158020969058
UCEC	0.10654042566232	1.11242289596907	0.216184705204834	0.492821291688388	0.622138865000029	0.728204174559183	1.69936501699583
