	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.194414065549546	1.21459910249378	0.178860154406962	1.08696129774771	0.277053914217927	0.855434805079523	1.72456272648568
BRCA	-0.121668871782061	0.885441514636301	0.200417380308777	-0.607077448046718	0.543799515747818	0.597811543670803	1.31146125253338
CESC	-0.0157166749602549	0.984406187470549	0.25296707687139	-0.0621293298504825	0.950459840266495	0.599581699198835	1.61621934629619
CHOL	0.0241869760735814	1.02448185357821	0.375313235347629	0.0644447725142935	0.948616080783951	0.49094977477078	2.13782167188297
COAD	-0.167720490579968	0.845590152069643	0.205337896856984	-0.81680241761112	0.414041350407677	0.565426269457111	1.26457284335884
ESCA	0.0908371102187077	1.09509061165938	0.313677832967302	0.289587279277643	0.772131999869373	0.592170816018732	2.02513095090892
GBM	-0.00312018277395749	0.996884679937483	0.147301219761227	-0.0211823281505425	0.983100211213533	0.746899031446352	1.33054003721176
HNSC	0.0540727471079554	1.05556138840033	0.138355016112566	0.390826069247549	0.695925804043763	0.804851008298012	1.3843678310571
KICH	0.698159566994565	2.01004993891676	1.09205453590213	0.639308334924708	0.522622367321653	0.236400473018666	17.0909165508321
KIRC	-0.561622395809949	0.570283088009792	0.190099726864904	-2.9543566688503	0.00313321658860089	0.39289573253262	0.827758546456046
KIRP	-1.03025511377697	0.356915894791593	0.34975542142062	-2.94564444374395	0.00322282631512812	0.17982643502176	0.708399496100051
LIHC	0.166862914886315	1.181592275494	0.134395881052061	1.2415775958318	0.21439245219083	0.907966158321673	1.53767879200237
LUAD	-0.0642669256181556	0.937754655379517	0.156084410174111	-0.411744680628042	0.68052657210683	0.690605349352141	1.27335213159138
LUSC	0.0227167129862244	1.02297670248041	0.141771210383347	0.160235021798846	0.872695942397972	0.774800460261949	1.35064624698841
PAAD	0.31561575809382	1.37110331904409	0.289421622115213	1.09050511080399	0.275490703230184	0.777524442907965	2.41783307089709
PCPG	-1.19089381540642	0.303949467899817	0.858681831053137	-1.38688600636377	0.165476525563038	0.0564794017301655	1.63573402349337
PRAD	-0.367786724376963	0.69226480915398	0.87952139034769	-0.418166889871286	0.675825101991651	0.123487298656329	3.8808085625609
READ	-0.0295095006684208	0.970921653192686	0.357208201619441	-0.0826114868993387	0.934160467274064	0.482089879258343	1.95542137928444
SARC	-0.0206238403290974	0.979587376539432	0.145596318375633	-0.141650836773831	0.887355809812976	0.736395912252184	1.30309173680854
STAD	-0.308128612542172	0.734820804759664	0.219535509289271	-1.40354794329042	0.160453505867086	0.477872984752215	1.12992705663748
THCA	-0.991420040435236	0.371049411563684	0.803309404835211	-1.2341695920249	0.217139715782049	0.0768517112105642	1.79147170119006
THYM	-0.593637989753811	0.552314311560412	0.648798021290871	-0.914981196417165	0.360201501630511	0.154856136492326	1.96989997080012
UCEC	0.199699832133671	1.22103618731947	0.208861229310991	0.956136439455318	0.339003306907652	0.810859360290839	1.83870279330426
