	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.00327540189766803	1.00328077188782	0.145813976509513	0.0224628802812627	0.982078721767811	0.753885529225101	1.33517923904767
BRCA	0.0763545451830762	1.07934518296272	0.150759715767368	0.506465170715074	0.612530134174994	0.803218041684408	1.45039822753702
CESC	0.0992042476037422	1.10429182548572	0.243892075363892	0.406754698592513	0.684188161959476	0.684671966649075	1.78108714133992
CHOL	0.139254252620678	1.14941630496288	0.413031511284286	0.337151642952566	0.736002588583082	0.511569087657822	2.58255995913149
COAD	-0.0865917367810885	0.91705141758066	0.230792386606372	-0.375193211762115	0.707516778305061	0.583368333389916	1.44159916531602
ESCA	-0.25838894284701	0.772294795147957	0.274934842126091	-0.939818834342236	0.347310496171279	0.450565719419331	1.32375639092403
GBM	-0.112115728344624	0.893940797225174	0.215845186809778	-0.519426585330488	0.603463296100661	0.585572943332489	1.36469787076524
HNSC	0.0635413947358287	1.06560359526783	0.14104535255413	0.450503285540323	0.65234758566792	0.808235003803617	1.40492680582248
KICH	0.381635303995303	1.46467782556656	0.956262576158304	0.39909049408635	0.689826526295975	0.224786345146476	9.54364523925366
KIRC	-0.359877679207244	0.697761671611984	0.181693665625075	-1.9806836851971	0.0476267574982801	0.48870769936034	0.996242439003941
KIRP	0.648178616566536	1.91205507009723	0.350993189623133	1.84669855635232	0.0647908410545357	0.961024482842235	3.80422627764072
LIHC	0.183659296425225	1.20160636176487	0.143091129908077	1.28351279735655	0.199312478994326	0.907742832421538	1.59060231275206
LUAD	-0.0797958032277044	0.923304863011609	0.137368744122122	-0.580887622855206	0.561316194680499	0.70536943347352	1.20857500992477
LUSC	-0.101553722173322	0.903432643673443	0.158771311953372	-0.639622617738061	0.522417974475755	0.661834486048684	1.23322455819377
PAAD	0.192924664992073	1.21279142442594	0.267337590631528	0.721651843036101	0.470508556658275	0.718171138154965	2.04806759979226
PCPG	3.07884685961269	21.7333263645018	1.05931301906859	2.9064561694142	0.0036554810733154	2.72544439045103	173.306590485151
PRAD	0.0628676135293825	1.06488585341946	0.85029636950705	0.0739361189626498	0.941061215711588	0.201154371780607	5.63737129238081
READ	0.587674736855	1.79979854078986	0.43704343888578	1.34465978565711	0.178735126865917	0.764208468092611	4.23873186790802
SARC	0.045840020612164	1.04690691403204	0.185362474347194	0.247299356429086	0.804676556818894	0.727993067719898	1.50552819147144
STAD	-0.00529448039536717	0.994719510663276	0.18140907714532	-0.0291853113343714	0.976716796101534	0.697083735745974	1.41943765742192
THCA	-0.17847908155127	0.836541555846013	0.572998322789903	-0.311482729447206	0.755433670239673	0.272113734804087	2.5717252940617
THYM	1.09837318797668	2.99928278367257	0.70253910605089	1.56343352066314	0.117950660898412	0.756859111135879	11.8855637516659
UCEC	0.101607581263894	1.10694899895878	0.167372188637617	0.607075656302064	0.543800704765501	0.797370467685968	1.5367211803716
