	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0382633466303367	0.962459447062072	0.165474311839448	-0.231234360215752	0.81713273764516	0.695873743443127	1.33117278237232
BRCA	0.160101603095684	1.17363010938651	0.183665910563847	0.871700157117768	0.383371974533229	0.818831490341641	1.68216250828837
CESC	0.241403964287951	1.27303519220568	0.254350621260038	0.949099172992189	0.342570174988088	0.773279983032886	2.09577208275574
CHOL	0.890691826274493	2.4368149208541	0.849098834723598	1.0489848647177	0.294185084441661	0.46139013728536	12.8699477484162
COAD	-0.0695903967009132	0.932775809717433	0.135673672257078	-0.512924840488223	0.608003896501263	0.714976282637207	1.21692248026009
ESCA	0.238895587138555	1.2698459414133	0.242114313458464	0.986705757813606	0.323786906577208	0.790065245744281	2.0409817082952
GBM	0.0134404079665205	1.01353113626913	0.205274846960422	0.0654751820085968	0.947795665813745	0.677808215528915	1.51553985427192
HNSC	0.534955028650072	1.70737145772839	0.129821988474032	4.12068121077253	3.77753816286167e-05	1.3238029363729	2.20207797895715
KICH	0.7836803351857	2.18951560665044	0.809776301873313	0.967773857264971	0.333157322775089	0.447780531331925	10.7060898282159
KIRC	0.683133391784352	1.98007236453661	0.221889246629758	3.07871337687771	0.0020789659185017	1.28176554535262	3.05881725641407
KIRP	1.37004652446122	3.93553378980044	0.314887438983588	4.35090878468679	1.35574446687942e-05	2.12310254793728	7.29518516461154
LIHC	0.63191889269622	1.88121697152452	0.17870725091921	3.536056256508	0.000406148194046418	1.32532686173611	2.670267536354
LUAD	0.362313954799897	1.43664991430055	0.157964563415714	2.29364071894023	0.0218111444544239	1.05412295579939	1.95799073049744
LUSC	-0.147699067955476	0.862690687155566	0.145265084640917	-1.0167554599963	0.309269775282583	0.648941047657322	1.14684565630674
PAAD	1.00046299273675	2.71954066459556	0.334629634034631	2.9897620861433	0.00279194815406674	1.41142659425083	5.24001847245519
PCPG	0.254353270444217	1.28962731101757	1.24942466251238	0.203576316424519	0.838684602314364	0.111417143775252	14.9271336974609
PRAD	0.632647942255754	1.88258897199639	1.03139038791767	0.613393288968922	0.539616322409843	0.249364381657605	14.2127003621102
READ	0.0821539890915551	1.0856229710538	0.313103210404711	0.262386287848548	0.793023643168111	0.587712717153381	2.00536282588572
SARC	0.185725357314276	1.20409152003308	0.245047947427532	0.757914356206557	0.448502255300569	0.744859406790446	1.94645643915921
STAD	-0.0261768410191934	0.974162802432636	0.159605827880954	-0.164009305717321	0.869723818109912	0.712483506849571	1.33195106485991
THCA	-1.3786563855238	0.251916804834652	0.785452628738356	-1.75523810740603	0.0792185881778933	0.0540354347032578	1.17445296603257
THYM	0.310431063256759	1.36401296329321	1.27340063800778	0.243781143177707	0.807400325367671	0.1124340642034	16.54775514177
UCEC	0.359084775000808	1.43201819576969	0.153281246005623	2.34265302741365	0.0191471802118331	1.06041363459594	1.93384547888888
