	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.121481502962505	0.885607434311286	0.0503079742243642	-2.41475640463518	0.0157457362200102	0.802451934418428	0.977380069842855
BRCA	-0.141595195528203	0.867972544547058	0.0798069800971623	-1.77422069292455	0.0760266526874114	0.742290945943822	1.01493402580787
CESC	-0.13273683058308	0.875695518065798	0.111127108678531	-1.1944594992304	0.232298274382752	0.704306279518693	1.0887914287582
CHOL	-0.0931893315172113	0.91102099897874	0.15070632341797	-0.618350507156621	0.536344315113917	0.678026912647705	1.22408011407573
COAD	0.0268656626994351	1.02722979821597	0.0804017559835804	0.334142735699972	0.738271853079525	0.877464409602534	1.20255710293799
ESCA	-0.138315581032507	0.870823832893643	0.101191272157718	-1.36687263716704	0.171665230049778	0.714161015607377	1.0618531834738
GBM	0.144323479679528	1.15525775049577	0.081089137403516	1.7798127381889	0.0751066122401103	0.985497874496172	1.3542601203101
HNSC	-0.0661670398117949	0.935974506227607	0.0792411608965172	-0.835008461047206	0.403712944487511	0.801334463801537	1.09323673931611
KICH	-0.137963343432801	0.871130623818785	0.244700413365604	-0.563805109829021	0.572886773877709	0.539254666194345	1.40725451503356
KIRC	0.233088320049287	1.26249297784544	0.055467331616775	4.2022630845071	2.6425975859287e-05	1.13243971793501	1.40748200002688
KIRP	0.0204035272007316	1.02061310209069	0.0843667307209423	0.241843283796546	0.808901598595617	0.865063619235466	1.20413236783646
LIHC	-0.0982205745961528	0.906448942092165	0.0611686726978916	-1.60573329882861	0.108332521614575	0.804037820838108	1.02190427281585
LUAD	-0.16684771201253	0.846328487185869	0.0652318502765002	-2.55776451695464	0.0105347403350332	0.74475513744425	0.961754907365027
LUSC	-0.0106788378966795	0.989377978468631	0.0704287367038895	-0.151626145753225	0.879481810505955	0.861813296373049	1.13582464832958
PAAD	0.00502934040284759	1.00504200876422	0.100826534500909	0.0498811193674643	0.96021712313366	0.824822525904455	1.22463852241813
PCPG	0.0023289190453624	1.00233163308384	0.30571005453837	0.00761806493044244	0.993921722400915	0.550542139777189	1.82487157674636
PRAD	0.0454229870374519	1.04647040972409	0.355648147731432	0.12771889106464	0.898371439621746	0.521193151501445	2.10114103624224
READ	0.0318203709692949	1.03233205184337	0.148181153099512	0.214739663605706	0.829970296791515	0.772124592837523	1.38022992033799
SARC	-0.0619515102420606	0.939928462589732	0.0597131467525696	-1.03748527102023	0.299509756555112	0.836116662422898	1.05662948065906
STAD	-0.010801850182485	0.989256280307312	0.0765809634865083	-0.141051374789611	0.887829356792416	0.851379094189837	1.14946208428892
THCA	-0.229115802420871	0.795236437868078	0.204744707790393	-1.11903162183526	0.263126648904232	0.532374518213375	1.1878874184952
THYM	0.30703820509545	1.35939290281549	0.467904397593362	0.656198588161774	0.511696357174506	0.543330459897599	3.40115123413736
UCEC	-0.272432494745087	0.761524834368192	0.0680433414589869	-4.00380829194427	6.23308814939356e-05	0.66644677941458	0.870167118023911
