	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0388117942026309	0.96193173323981	0.034912015954814	-1.11170303808478	0.266265853133351	0.898311770183313	1.03005736997626
BRCA	-0.011730200602381	0.988338329979817	0.0273565000755319	-0.428790253504417	0.668075872407464	0.936741462325967	1.04277721633227
CESC	0.00991335400975724	1.00996265407863	0.0429096868350885	0.231028346765999	0.81729278012054	0.928497039403053	1.09857599900301
CHOL	0.0371011029834105	1.03779794000216	0.0992803558150928	0.373700342618739	0.708627270394593	0.854289782665624	1.2607250913292
COAD	-0.0935594579430489	0.910683868426837	0.112146162112251	-0.834263573365997	0.404132473818869	0.730985323527661	1.13455781055977
ESCA	0.00950575406565933	1.00955107724233	0.0365682140390988	0.259945811285609	0.794905573262794	0.939726288628564	1.08456407987538
GBM	0.0584348317009008	1.06017589358358	0.0822256226666833	0.710664508285661	0.477292158147086	0.902375609275353	1.24557103913563
HNSC	-0.0237413475676826	0.976538261091475	0.0284785722636991	-0.833656524205219	0.404474563777266	0.923524155203836	1.03259559590521
KICH	-0.227611609770022	0.796433526774063	0.115079293661248	-1.9778676296018	0.0479436415714206	0.635614595836322	0.997941782213437
KIRC	0.13067390167134	1.13959610032935	0.0320333393410529	4.07930938076982	4.51696903081817e-05	1.07024726467504	1.21343853401968
KIRP	0.0220496736338639	1.02229456429511	0.0632720506111719	0.348489948103098	0.727472261541495	0.903064529577705	1.15726633253554
LIHC	0.052880356542768	1.05430349705775	0.0248853445692159	2.12495978891058	0.033589968332791	1.00411441851862	1.10700119768033
LUAD	-0.0942044382514358	0.910096684645879	0.0537588407987049	-1.75235248476015	0.07971321638061	0.819083022193111	1.01122346936907
LUSC	0.039065155506268	1.03983823262951	0.0322170560062454	1.21256130599565	0.225297590234881	0.976208474990505	1.10761540976027
PAAD	0.205512573936751	1.22815442360082	0.0720269796504281	2.85327213405553	0.00432715483065306	1.0664573717564	1.41436810148921
PCPG	0.127537882003829	1.1360279024394	0.365760659313798	0.348692180955443	0.727320414979777	0.554693351798428	2.32661774462701
PRAD	-0.0905894945493819	0.913392586585093	0.294053273430914	-0.308071709226068	0.758027767755184	0.513285365720613	1.62538438253998
READ	-0.073836171711647	0.92882384899865	0.219715504484963	-0.336053533794655	0.736830497366947	0.603825127274706	1.42874766799193
SARC	-0.0253158739601545	0.975001885675356	0.0588705027178401	-0.430026461324624	0.667176392613127	0.868749950537066	1.09424889921757
STAD	-0.0420844905819778	0.958788768529109	0.0546616835275853	-0.769908423342644	0.441354216913014	0.861380088738062	1.0672128537407
THCA	0.536527635857337	1.71005859474001	0.246794566176111	2.17398480108542	0.029706276664286	1.0542389946652	2.77384958462183
THYM	0.00795830230162928	1.00799005376274	0.301942781160013	0.0263569881387952	0.978972600713196	0.55775321906656	1.82167294378872
UCEC	-0.085343758658436	0.918196592114902	0.0465765737459262	-1.83233226050468	0.0669019335313296	0.838088005327325	1.00596235289412
