,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol
ENSG00000163430.8,1.09310135755799,1.05191864746727,1.13589637446968,5.54019509624152e-06,1.09439947766365,1.04312826171125,1.14819074573401,0.000228932433837506,FSTL1
ENSG00000138385.14,1.27225271297669,1.16644957888129,1.38765274983331,5.46314819772347e-08,1.326038115098,1.12977643405524,1.55639384013447,0.000554311914831693,SSB
ENSG00000088179.7,0.864418310108682,0.796219073258962,0.938459074828171,0.000511322220758173,0.864396361717173,0.794637046064177,0.940279683473934,0.000688134659407633,PTPN4
ENSG00000186432.7,1.27608603590496,1.15571202744003,1.40899768486326,1.41651659926605e-06,1.42127257800346,1.15314714614683,1.75174152555842,0.000981120443284201,KPNA4
ENSG00000080503.18,0.880897585367058,0.835782687966732,0.928447749729413,2.27022574340934e-06,0.867394436439609,0.788749647859093,0.953880753428615,0.00335012895842958,SMARCA2
ENSG00000110723.10,0.912548426112708,0.883812532852399,0.942218625609661,2.0728771485089e-08,0.913529469112886,0.85964084824775,0.970796225701407,0.00355245055887422,EXPH5
ENSG00000198626.14,1.04955555577078,1.02815548690109,1.07140104651825,4.19019909775799e-06,1.06522412833699,1.01799632522671,1.11464296625885,0.00631725884862276,RYR2
ENSG00000249884.7,1.02288340014356,1.00836789871253,1.03760785287309,0.00191760424849219,1.02526113646043,1.005766138616,1.0451340103601,0.0108666669572456,RNF103-CHMP3
ENSG00000163344.5,0.928114438986052,0.871374530005478,0.988548990350887,0.0204605115092825,0.928114438986052,0.871374530005478,0.988548990350887,0.0204605115092825,PMVK
ENSG00000102043.14,0.964016443988646,0.942716194539142,0.985797963017733,0.00130573351771423,0.959716629110586,0.925962021296889,0.994701712389207,0.0244004683863427,MTMR8
ENSG00000116641.14,1.11055790595001,1.03577840136364,1.19073622393008,0.00319484499658969,1.1267013915894,1.00227626553156,1.266572969416,0.0457117199560998,DOCK7
ENSG00000117859.17,1.12739338337104,1.03302547667667,1.23038189237865,0.00717815005727794,1.14706235305607,1.00259392837767,1.31234790532552,0.0457510946032307,OSBPL9
ENSG00000164080.12,0.918645149738549,0.849272609045657,0.993684362535226,0.0341656453337423,0.915359231733765,0.837958025729593,0.999909896907667,0.0497667966005118,RAD54L2
ENSG00000124831.17,1.08163302298885,1.00269670110175,1.16678352998918,0.0423953576147812,1.08329400353917,0.995657917756009,1.17864366583736,0.0630468691300861,LRRFIP1
ENSG00000196639.6,1.05914532173689,1.01542213006556,1.10475119592354,0.00755169775750272,1.06235922356255,0.99620095335903,1.13291110200502,0.0651919254257224,HRH1
ENSG00000084072.15,1.07703650710341,0.99390421462997,1.16712216384491,0.0701758225875102,1.08283130348488,0.988945554189291,1.185630115672,0.0854793135989783,PPIE
ENSG00000142765.16,0.95416843242098,0.922090003065704,0.987362832697186,0.00716971370703653,0.952115244188505,0.89683269299364,1.01080552180825,0.107877237973369,SYTL1
ENSG00000133069.13,1.04399093107345,1.0075880259071,1.08170902803494,0.0174342129132873,1.04687728202637,0.986750724959141,1.11066758392126,0.129013107577144,TMCC2
ENSG00000198517.8,1.09684694391473,1.04357816919718,1.1528347888885,0.000273414230609883,1.07522754930905,0.978574276216779,1.18142721599298,0.13122648429791,MAFK
ENSG00000075151.18,1.06960920381451,0.984282609503265,1.16233268559127,0.112631483891125,1.08275112917437,0.963246736096246,1.21708173388633,0.182723346198452,EIF4G3
ENSG00000091409.13,0.984848899898446,0.946775222271052,1.0244536747641,0.447880776564792,0.93155522559629,0.837096460043311,1.03667280864006,0.193697008396656,ITGA6
ENSG00000117262.17,1.05434266305248,0.977166400848947,1.13761427958107,0.172440021316601,1.06500163806884,0.965709857640441,1.17450234158386,0.20723679009302,GPR89A
ENSG00000157445.13,0.975251831298223,0.951334950743518,0.999769990272292,0.0479149094325246,0.970573581215426,0.925448418563855,1.01789906131688,0.218842848151583,CACNA2D3
ENSG00000115561.13,1.07630933395637,0.973845909328807,1.18955347171919,0.149658498858299,1.13523360887521,0.924688061626139,1.3937190282888,0.225563861858465,CHMP3
ENSG00000054267.19,0.952580346805647,0.876580654224103,1.03516922572693,0.252135474969445,0.952937166830599,0.876415022292639,1.03614066490055,0.259024244836744,ARID4B
ENSG00000144535.18,0.943299336872012,0.856039191563113,1.03945432371898,0.238547204184325,0.937748263059367,0.821226370734447,1.07080317462822,0.342397182291056,DIS3L2
ENSG00000204120.13,0.924238819446838,0.842592548733002,1.01379652200457,0.0950005820413322,0.934152379225633,0.809830066821882,1.07756022326699,0.349888709943682,GIGYF2
ENSG00000163866.8,0.966652907539634,0.886381332828248,1.05419395586018,0.44321339939847,0.950829928866914,0.852801219758437,1.06012694715088,0.363765637568981,SMIM12
ENSG00000115474.6,0.995005191216246,0.984242450100831,1.00588562345167,0.366846947986567,0.995005191216246,0.984242450100831,1.00588562345167,0.366846947986567,KCNJ13
ENSG00000171680.19,1.02614206271119,0.978341436037275,1.07627817250609,0.289008204610711,1.02582681447581,0.970532705384115,1.08427119195443,0.367076276415367,PLEKHG5
ENSG00000138433.14,0.948320980717457,0.864156588522158,1.04068255037769,0.263134156143666,0.931326013616765,0.791097860317095,1.09641068083742,0.392829792129734,CIR1
ENSG00000136048.12,0.951281403516256,0.90982148293536,0.994630623313333,0.0280373496741458,0.964652420120547,0.88380183407056,1.05289925385031,0.420368877371115,DRAM1
ENSG00000117118.8,0.946560956094476,0.871974550358113,1.02752728647243,0.189690919038387,0.958000457149771,0.851942528405097,1.07726148806927,0.473525592920731,SDHB
ENSG00000144524.16,1.09648838720775,0.996714897034769,1.20624943688337,0.0584425370013422,1.08685791760336,0.863867072275979,1.36740960613874,0.47713238338787,COPS7B
ENSG00000163125.14,0.942225826311514,0.871566951031667,1.01861309302463,0.134582060149867,0.963409515695875,0.865245989157699,1.07270984964276,0.496592893409682,RPRD2
ENSG00000143376.11,1.02396590951766,0.939648010313856,1.11584994843347,0.589081655117866,1.02744592427317,0.933418321207705,1.13094536856712,0.580318312919833,SNX27
ENSG00000213185.5,1.01308383411982,0.98864656231604,1.03812514408646,0.296754364612769,1.00842749229447,0.973274075561522,1.0448506055487,0.642953806545312,FAM24B
ENSG00000114541.13,0.994810233392688,0.945379348400116,1.04682570244169,0.841402369145802,0.98603954888985,0.923225541033735,1.0531272682147,0.675494016301017,FRMD4B
ENSG00000103534.15,1.01264580752752,0.993530558638983,1.03212882843565,0.196206213054253,1.00711818838234,0.974001879957732,1.04136045960665,0.677563098446177,TMC5
ENSG00000125037.11,0.9831854323511,0.904397980557046,1.06883652459289,0.69070144447573,0.98206322070297,0.901277380079831,1.07009028604719,0.679422698827104,EMC3
ENSG00000114933.14,0.982988359775421,0.91114635995728,1.06049495220425,0.657688176514067,0.984461469279864,0.909049713455461,1.06612913480023,0.700130627891456,INO80D
ENSG00000116299.15,0.974069497956993,0.954834603991005,0.993691873843237,0.0098277373997298,1.00940612925407,0.958587861560861,1.06291846019895,0.722422069620433,KIAA1324
ENSG00000163431.12,0.994166915836046,0.970261805674438,1.01866099516917,0.637571611394625,0.992262490912664,0.94567442396843,1.04114569022655,0.751560834077984,LMOD1
ENSG00000151090.16,1.00182102661781,0.972948450492024,1.03155040625843,0.902948095449261,1.00898272751679,0.949620203291677,1.07205611348448,0.772537492807536,THRB
ENSG00000214050.6,0.999809113241288,0.974474108521675,1.02580279371075,0.988368796441681,0.994055618988691,0.954475313843286,1.03527724532144,0.773653811698238,FBXO16
ENSG00000116754.12,0.986264259292069,0.907723029625812,1.07160131164449,0.743922585294216,0.982079284258465,0.83876026273275,1.14988723646405,0.822228868870946,SRSF11
ENSG00000116983.11,0.99836150515342,0.983952564200392,1.01298144975331,0.82502914782355,0.99822903163722,0.975645647754091,1.02133515574759,0.879329909698339,HPCAL4
ENSG00000138002.13,0.97813868175429,0.915251484155075,1.04534687712335,0.514443895009264,1.00704372443506,0.895018756152984,1.13309029107173,0.907133649283911,IFT172
ENSG00000174844.13,0.984798111262398,0.966004698409789,1.00395714590466,0.119178297152865,0.99836588043184,0.960758519920157,1.03744532111282,0.93346829313272,DNAH12
ENSG00000158411.9,0.996345761143043,0.918647255605273,1.08061594882101,0.929579219180293,0.998257833444363,0.83276406952432,1.19663988697573,0.984957300665165,MITD1
