	corvalue	P
MTMR8	0.437763123	0
SMARCA2	0.169869642	4.30E-64
INO80D	0.166925814	6.35E-62
PTPN4	0.165069519	1.41E-60
LMOD1	0.160387886	3.02E-57
RYR2	0.15767269	2.31E-55
GIGYF2	0.148489059	3.10E-49
DNAH12	0.13464566	1.02E-40
KCNJ13	0.12042028	7.45E-33
ARID4B	0.118740192	5.52E-32
IFT172	0.101313631	1.08E-23
AFF3	0.097109529	6.90E-22
FBXO16	0.089624806	7.25E-19
RPRD2	0.089619939	7.28E-19
THRB	0.080187036	2.13E-15
RAD54L2	0.079943141	2.59E-15
EXPH5	0.066528206	4.74E-11
OSBPL9	0.063075158	4.47E-10
CHMP3	0.061971559	8.93E-10
FRMD4B	0.061303407	1.35E-09
DRAM1	0.055741953	3.58E-08
CACNA2D3	0.055355393	4.44E-08
HPCAL4	0.046771983	3.79E-06
FAM24B	0.045212301	7.88E-06
KIAA1324	0.044755772	9.73E-06
EIF4G3	0.044612697	1.04E-05
CIR1	0.044427004	1.13E-05
LRRFIP1	0.036896097	0.00026652
SRSF11	0.036052142	0.000367493
TMC5	0.035808431	0.000402722
SNX27	0.034736678	0.000598426
DOCK7	0.031282495	0.001995891
MAFK	0.018709779	0.06455681
FSTL1	0.014027356	0.165841217
RNF103-CHMP3	0.008544904	0.398623873
DIS3L2	-0.001659383	0.869798783
HRH1	-0.010464782	0.301257679
ITGA6	-0.01231101	0.223936023
MITD1	-0.020539361	0.04244879
SSB	-0.04342238	1.78E-05
TMCC2	-0.046877577	3.60E-06
EMC3	-0.047771701	2.34E-06
SYTL1	-0.061184627	1.45E-09
SDHB	-0.062272165	7.40E-10
PLEKHG5	-0.069759341	5.23E-12
KPNA4	-0.071849932	1.19E-12
GPR89A	-0.088132736	2.72E-18
COPS7B	-0.089138188	1.12E-18
PPIE	-0.090178781	4.41E-19
PMVK	-0.098678394	1.50E-22
SMIM12	-0.101422268	9.72E-24
