	idx	beta	pval	cilb	ciub	i2	tau2	Len
ENSG00000243384	4446	-5.59032	3.76E-26	-6.62612	-4.55452	94.30997	5.487714	3109
ENSG00000267328	11433	-5.12158	1.49E-13	-6.48033	-3.76283	96.97247	9.796229	660
ENSG00000241720	11527	-4.59129	2.78E-14	-5.77407	-3.40851	97.68349	7.762307	808
ENSG00000231246	8656	-4.46878	9.35E-20	-5.43167	-3.50589	97.09272	4.783646	547
ENSG00000258604	14177	-4.24114	2.31E-15	-5.29022	-3.19206	97.17715	6.001081	478
ENSG00000224239	12083	-3.43468	1.54E-15	-4.27896	-2.59041	88.6219	3.19598	497
ENSG00000251226	18324	-3.41835	4.40E-15	-4.27261	-2.5641	93.24342	3.684191	3684
ENSG00000275088	26927	-2.69524	2.23E-16	-3.33873	-2.05174	95.65713	2.220855	3306
ENSG00000254319	14417	-2.49087	7.08E-19	-3.04104	-1.9407	91.46546	1.465469	582
ENSG00000273682	23803	-2.29412	1.26E-19	-2.79021	-1.79803	86.91031	1.081182	129
ENSG00000262061	8524	-2.17824	4.78E-17	-2.68698	-1.66951	97.20843	1.424961	1013
ENSG00000257283	12824	-1.78054	1.52E-14	-2.23459	-1.32649	92.04315	0.995086	540
ENSG00000256139	17027	-1.76796	1.34E-14	-2.21789	-1.31803	95.7985	1.07907	910
ENSG00000274370	22769	-1.66868	7.43E-20	-2.02725	-1.31012	95.78092	0.669986	611
ENSG00000213754	21961	-1.63532	1.95E-19	-1.99081	-1.27983	94.94271	0.673716	1436
ENSG00000249456	12095	-1.27253	2.59E-14	-1.59996	-0.94511	92.71392	0.494312	555
ENSG00000266601	4020	-1.19501	3.79E-23	-1.43137	-0.95865	92.59149	0.269393	335
ENSG00000280054	18392	-1.00387	9.00E-24	-1.19961	-0.80814	89.51505	0.175499	2248
ENSG00000279982	9753	-0.89974	1.59E-14	-1.12936	-0.67012	87.83427	0.23865	3109
ENSG00000230555	7357	-0.82476	7.66E-21	-0.99739	-0.65214	88.64084	0.13327	760
ENSG00000180015	7344	-0.8036	2.95E-16	-0.99625	-0.61094	47.80452	0.081522	1122
ENSG00000274220	16917	-0.75817	1.92E-14	-0.95227	-0.56408	90.01046	0.170717	2557
ENSG00000228452	6043	-0.60381	7.52E-18	-0.74132	-0.46631	92.40947	0.094891	484
ENSG00000262712	27294	0.730751	1.44E-14	0.544568	0.916935	88.54463	0.162474	1949
ENSG00000270804	9761	0.778765	1.48E-16	0.593929	0.9636	93.01978	0.173717	891
ENSG00000269399	1428	0.830658	2.87E-22	0.662903	0.998414	86.85776	0.123938	2069
ENSG00000257086	30139	0.830893	1.54E-20	0.655594	1.006191	91.1971	0.152908	853
ENSG00000272455	26350	0.959423	9.76E-18	0.740175	1.178671	93.6502	0.248541	1523
ENSG00000270195	10894	1.485524	5.19E-18	1.148888	1.822159	87.3414	0.497432	802
ENSG00000255921	16543	2.991146	1.94E-15	2.253243	3.729049	84.66538	2.247614	728
ENSG00000249001	28435	4.682048	1.03E-14	3.495808	5.868289	94.00953	7.225257	821
