	SNP	Chromosome	Position	trait1
1	ENSG00000054267	1	235330209	0.868662182186125
2	ENSG00000075151	1	21132962	0.494371358930261
3	ENSG00000080503	9	2015341	3.81473951618912e-22
4	ENSG00000084072	1	40157853	0.000419282555061712
5	ENSG00000088179	2	120517206	3.92401998536886e-05
6	ENSG00000091409	2	173292081	0.00731616827775829
7	ENSG00000102043	23	63444186	3.61383439377264e-06
8	ENSG00000103534	16	19421817	0.538120030514673
9	ENSG00000110723	11	108376157	0.17588124369419
10	ENSG00000114541	3	69219140	0.000903731450144342
11	ENSG00000114933	2	206858444	0.258462214856955
12	ENSG00000115474	2	233631173	1.89141546288745e-06
13	ENSG00000115561	2	86730553	0.0762598206885849
14	ENSG00000116299	1	109656532	0.976220417167534
15	ENSG00000116641	1	62920398	0.868780157805253
16	ENSG00000116754	1	70671364	0.0837325321348685
17	ENSG00000116983	1	40144319	0.0039776082632077
18	ENSG00000117118	1	17345216	0.026160454459712
19	ENSG00000117262	1	145764410	3.45644377021512e-08
20	ENSG00000117859	1	52042850	0.000215874637471596
21	ENSG00000124831	2	238536218	0.00092247732944929
22	ENSG00000125037	3	10004220	0.0608556959187141
23	ENSG00000133069	1	205197303	0.443876056678428
24	ENSG00000136048	12	102302091	0.61861258870112
25	ENSG00000138002	2	27667237	0.778961041746576
26	ENSG00000138385	2	170648442	0.00187663624631519
27	ENSG00000138433	2	175212749	0.382433822280217
28	ENSG00000142765	1	27668512	0.0124797594395952
29	ENSG00000143376	1	151584540	0.360781299433357
30	ENSG00000144524	2	232646380	2.37221040674491e-09
31	ENSG00000144535	2	232825954	0.352705845935084
32	ENSG00000151090	3	24158650	4.44976497277963e-11
33	ENSG00000157445	3	54156573	0.0124136876056142
34	ENSG00000158411	2	99777889	3.13934193159193e-06
35	ENSG00000163125	1	150335566	0.738725609491112
36	ENSG00000163344	1	154897209	0.637849558987382
37	ENSG00000163430	3	120111139	0.575695744480032
38	ENSG00000163431	1	201865579	1.26446009057086e-10
39	ENSG00000163866	1	35178337	0.00851797144410107
40	ENSG00000164080	3	51575595	0.582336605451609
41	ENSG00000171680	1	6526151	0.0483885798632388
42	ENSG00000174844	3	57327726	0.277041231088501
43	ENSG00000186432	3	160212782	0.190847702502976
44	ENSG00000196639	3	11178778	0.141925413252374
45	ENSG00000198517	7	1570349	0.0536442990821351
46	ENSG00000198626	1	237205504	0.0134995252363327
47	ENSG00000204120	2	233562008	0.00617240835098688
48	ENSG00000213185	10	124608593	0.0360303950540061
49	ENSG00000214050	8	28205803	0.534788552141703
50	ENSG00000249884	2	86732790	0.167598580123417
