	SNP	Chromosome	Position	trait1
1	ENSG00000163430	3	120111139	0.000228932433837506
2	ENSG00000138385	2	170648442	0.000554311914831693
3	ENSG00000088179	2	120517206	0.000688134659407633
4	ENSG00000186432	3	160212782	0.000981120443284201
5	ENSG00000080503	9	2015341	0.00335012895842958
6	ENSG00000110723	11	108376157	0.00355245055887422
7	ENSG00000198626	1	237205504	0.00631725884862276
8	ENSG00000249884	2	86732790	0.0108666669572456
9	ENSG00000163344	1	154897209	0.0204605115092825
10	ENSG00000102043	23	63444186	0.0244004683863427
11	ENSG00000116641	1	62920398	0.0457117199560998
12	ENSG00000117859	1	52042850	0.0457510946032307
13	ENSG00000164080	3	51575595	0.0497667966005118
14	ENSG00000124831	2	238536218	0.0630468691300861
15	ENSG00000196639	3	11178778	0.0651919254257224
16	ENSG00000084072	1	40157853	0.0854793135989783
17	ENSG00000142765	1	27668512	0.107877237973369
18	ENSG00000133069	1	205197303	0.129013107577144
19	ENSG00000198517	7	1570349	0.13122648429791
20	ENSG00000075151	1	21132962	0.182723346198452
21	ENSG00000091409	2	173292081	0.193697008396656
22	ENSG00000117262	1	145764410	0.20723679009302
23	ENSG00000157445	3	54156573	0.218842848151583
24	ENSG00000115561	2	86730553	0.225563861858465
25	ENSG00000054267	1	235330209	0.259024244836744
26	ENSG00000144535	2	232825954	0.342397182291056
27	ENSG00000204120	2	233562008	0.349888709943682
28	ENSG00000163866	1	35178337	0.363765637568981
29	ENSG00000115474	2	233631173	0.366846947986567
30	ENSG00000171680	1	6526151	0.367076276415367
31	ENSG00000138433	2	175212749	0.392829792129734
32	ENSG00000136048	12	102302091	0.420368877371115
33	ENSG00000117118	1	17345216	0.473525592920731
34	ENSG00000144524	2	232646380	0.47713238338787
35	ENSG00000163125	1	150335566	0.496592893409682
36	ENSG00000143376	1	151584540	0.580318312919833
37	ENSG00000213185	10	124608593	0.642953806545312
38	ENSG00000114541	3	69219140	0.675494016301017
39	ENSG00000103534	16	19421817	0.677563098446177
40	ENSG00000125037	3	10004220	0.679422698827104
41	ENSG00000114933	2	206858444	0.700130627891456
42	ENSG00000116299	1	109656532	0.722422069620433
43	ENSG00000163431	1	201865579	0.751560834077984
44	ENSG00000151090	3	24158650	0.772537492807536
45	ENSG00000214050	8	28205803	0.773653811698238
46	ENSG00000116754	1	70671364	0.822228868870946
47	ENSG00000116983	1	40144319	0.879329909698339
48	ENSG00000138002	2	27667237	0.907133649283911
49	ENSG00000174844	3	57327726	0.93346829313272
50	ENSG00000158411	2	99777889	0.984957300665165
